시점,지역,인구밀도(명/km2)
2012,인천,2654.70
2012,전남,143.76
2012,전북,223.14
2012,제주,303.62
2012,충남,243.64
2012,충북,207.88
2013,강원,89.40
2013,경기,1183.56
2013,경남,309.84
2013,경북,139.12
2013,광주,2977.52
2013,대구,2781.56
2013,대전,2823.86
2013,부산,4468.86
2013,서울,16293.96
2013,세종,nan
2013,울산,1068.68
2013,인천,2688.30
2013,전남,144.54
2013,전북,224.56
2013,제주,311.58
2013,충남,247.96
2013,충북,210.12
2014,강원,89.80
2014,경기,1204.98
2014,경남,313.12
2014,경북,139.96
2014,광주,2988.16
2014,대구,2786.28
2014,대전,2838.08
2014,부산,4474.38
2014,서울,16328.98
2014,세종,nan
2014,울산,1084.14
2014,인천,2721.90
2014,전남,145.32
2014,전북,225.98
2014,제주,319.54
2014,충남,252.28
2014,충북,212.36
2015,강원,90.20
2015,경기,1226.40
2015,경남,316.40
2015,경북,140.80
2015,광주,2998.80
2015,대구,2791.00
2015,대전,2852.30
2015,부산,4479.90
2015,서울,16364.00
2015,세종,439.00
2015,울산,1099.60
2015,인천,2755.50
2015,전남,146.10
2015,전북,227.40
2015,제주,327.50
2015,충남,256.60
2015,충북,214.60
2016,강원,90.40
2016,경기,1244.40
2016,경남,316.90
2016,경북,140.90
2016,광주,2995.70
2016,대구,2785.30
2016,대전,2846.90
2016,부산,4468.80
2016,서울,16202.20
2016,세종,521.70
2016,울산,1099.20
2016,인천,2741.40
2016,전남,145.80
2016,전북,227.20
2016,제주,337.10
2016,충남,259.20
2016,충북,216.50
2017,강원,90.40
2017,경기,1261.60
2017,경남,317.40
2017,경북,140.70
2017,광주,2985.30
2017,대구,2776.20
2017,대전,2828.50
2017,부산,4437.40
2017,서울,16095.80
2017,세종,595.00
2017,울산,1090.40
2017,인천,2752.30
2017,전남,145.30
2017,전북,226.30
2017,제주,346.90
2017,충남,262.90
2017,충북,217.50
2018,강원,90.30
2018,경기,1286.20
2018,경남,317.90
2018,경북,140.40
2018,광주,2973.20
2018,대구,2766.70
2018,대전,2801.00
2018,부산,4409.80
2018,서울,15983.70
2018,세종,671.90
2018,울산,1083.40
2018,인천,2761.40
2018,전남,145.00
2018,전북,225.30
2018,제주,355.80
2018,충남,265.10
2018,충북,218.80
2019,강원,90.30
2019,경기,1305.00
2019,경남,317.60
2019,경북,140.20
2019,광주,2972.70
2019,대구,2750.30
2019,대전,2777.50
2019,부산,4379.70
2019,서울,15926.90
2019,세종,727.30
2019,울산,1076.90
2019,인천,2776.60
2019,전남,144.80
2019,전북,224.00
2019,제주,359.40
2019,충남,265.40
2019,충북,220.00
2020,강원,90.40
2020,경기,1325.30
2020,경남,316.20
2020,경북,138.90
2020,광주,2948.50
2020,대구,2728.60
2020,대전,2758.10
2020,부산,4348.90
2020,서울,15839.00
2020,세종,761.30
2020,울산,1069.00
2020,인천,2765.10
2020,전남,144.90
2020,전북,223.40
2020,제주,362.60
2020,충남,264.00
2020,충북,220.30
2021,강원,90.40
2021,경기,1338.90
2021,경남,313.60
2021,경북,138.40
2021,광주,2944.00
2021,대구,2702.20
2021,대전,2742.80
2021,부산,4316.40
2021,서울,15650.10
2021,세종,787.70
2021,울산,1055.00
2021,인천,2772.80
2021,전남,143.90
2021,전북,221.40
2021,제주,363.80
2021,충남,263.80
2021,충북,219.40
2022,강원,90.80
2022,경기,1344.90
2022,경남,311.20
2022,경북,137.70
2022,광주,2931.90
2022,대구,2673.70
2022,대전,2730.70
2022,부산,4272.80
2022,서울,15560.70
2022,세종,822.90
2022,울산,1044.90
2022,인천,2801.30
2022,전남,143.30
2022,전북,219.80
2022,제주,365.60
2022,충남,265.90
2022,충북,219.40
2023,강원,90.80
2023,경기,1354.50
2023,경남,310.30
2023,경북,140.60
2023,광주,2908.50
2023,대구,1586.70
2023,대전,2724.00
2023,부산,4252.00
2023,서울,15506.40
2023,세종,830.70
2023,울산,1042.00
2023,인천,2835.70
2023,전남,143.70
2023,전북,219.10
2023,제주,365.80
2023,충남,268.70
2023,충북,221.60
