시점,지역,여성초혼연령(년)
2007,전북,27.67
2007,전남,27.42
2007,경북,27.69
2007,경남,27.85
2007,제주,28.33
2008,서울,29.3
2008,부산,28.88
2008,대구,28.66
2008,인천,28.38
2008,광주,28.4
2008,대전,28.42
2008,울산,28.32
2008,경기,28.56
2008,강원,28.25
2008,충북,27.92
2008,충남,27.6
2008,전북,27.9
2008,전남,27.69
2008,경북,28.02
2008,경남,28.2
2008,제주,28.67
2009,서울,29.6
2009,부산,29.22
2009,대구,29.0
2009,인천,28.72
2009,광주,28.7
2009,대전,28.8
2009,울산,28.55
2009,경기,28.92
2009,강원,28.58
2009,충북,28.19
2009,충남,28.05
2009,전북,28.27
2009,전남,28.11
2009,경북,28.41
2009,경남,28.59
2009,제주,29.2
2010,서울,29.82
2010,부산,29.47
2010,대구,29.32
2010,인천,29.03
2010,광주,29.01
2010,대전,29.02
2010,울산,28.93
2010,경기,29.25
2010,강원,28.91
2010,충북,28.5
2010,충남,28.15
2010,전북,28.48
2010,전남,28.28
2010,경북,28.58
2010,경남,28.81
2010,제주,29.18
2011,서울,30.03
2011,부산,29.73
2011,대구,29.55
2011,인천,29.17
2011,광주,29.15
2011,대전,29.24
2011,울산,29.17
2011,경기,29.35
2011,강원,28.86
2011,충북,28.66
2011,충남,28.38
2011,전북,28.7
2011,전남,28.57
2011,경북,28.83
2011,경남,29.02
2011,제주,29.4
2012,서울,30.24
2012,부산,29.96
2012,대구,29.72
2012,인천,29.48
2012,광주,29.57
2012,대전,29.48
2012,울산,29.37
2012,세종,28.87
2012,경기,29.59
2012,강원,29.18
2012,충북,28.83
2012,충남,28.65
2012,전북,28.93
2012,전남,28.79
2012,경북,29.1
2012,경남,29.31
2012,제주,29.59
2013,서울,30.41
2013,부산,30.11
2013,대구,29.86
2013,인천,29.54
2013,광주,29.68
2013,대전,29.52
2013,울산,29.45
2013,세종,29.46
2013,경기,29.72
2013,강원,29.3
2013,충북,29.04
2013,충남,28.84
2013,전북,29.21
2013,전남,29.02
2013,경북,29.23
2013,경남,29.44
2013,제주,29.97
2014,서울,30.68
2014,부산,30.35
2014,대구,29.99
2014,인천,29.62
2014,광주,29.89
2014,대전,29.72
2014,울산,29.58
2014,세종,29.83
2014,경기,29.89
2014,강원,29.4
2014,충북,29.11
2014,충남,28.95
2014,전북,29.39
2014,전남,29.16
2014,경북,29.45
2014,경남,29.64
2014,제주,29.8
2015,서울,30.8
2015,부산,30.52
2015,대구,30.16
2015,인천,29.85
2015,광주,30.09
2015,대전,29.83
2015,울산,29.65
2015,세종,30.32
2015,경기,30.02
2015,강원,29.61
2015,충북,29.48
2015,충남,29.15
2015,전북,29.4
2015,전남,29.33
2015,경북,29.53
2015,경남,29.75
2015,제주,30.05
2016,서울,31.01
2016,부산,30.63
2016,대구,30.27
2016,인천,30.06
2016,광주,30.14
2016,대전,29.95
2016,울산,29.74
2016,세종,29.98
2016,경기,30.21
2016,강원,29.78
2016,충북,29.56
2016,충남,29.27
2016,전북,29.65
2016,전남,29.47
2016,경북,29.75
2016,경남,29.91
2016,제주,30.42
2017,서울,31.2
2017,부산,30.74
2017,대구,30.4
2017,인천,30.19
2017,광주,30.3
2017,대전,29.97
2017,울산,29.93
2017,세종,30.33
2017,경기,30.3
2017,강원,29.93
2017,충북,29.67
2017,충남,29.59
2017,전북,29.72
2017,전남,29.79
2017,경북,29.82
2017,경남,30.04
2017,제주,30.45
2018,서울,31.32
2018,부산,30.91
2018,대구,30.51
2018,인천,30.39
2018,광주,30.4
2018,대전,30.27
2018,울산,30.13
2018,세종,30.35
2018,경기,30.52
2018,강원,30.15
2018,충북,29.65
2018,충남,29.7
2018,전북,30.04
2018,전남,29.96
2018,경북,30.13
2018,경남,30.2
2018,제주,30.79
2019,서울,31.55
2019,부산,31.04
2019,대구,30.62
2019,인천,30.59
2019,광주,30.65
2019,대전,30.45
2019,울산,30.25
2019,세종,30.8
2019,경기,30.74
2019,강원,30.34
2019,충북,29.98
2019,충남,29.91
2019,전북,30.34
2019,전남,30.07
2019,경북,30.41
2019,경남,30.47
2019,제주,30.99
2020,서울,31.6
2020,부산,31.08
2020,대구,30.67
2020,인천,30.7
2020,광주,30.68
2020,대전,30.61
2020,울산,30.33
2020,세종,30.78
2020,경기,30.83
2020,강원,30.39
2020,충북,30.15
2020,충남,29.95
2020,전북,30.49
2020,전남,30.24
2020,경북,30.38
2020,경남,30.52
2020,제주,30.92
2021,서울,31.91
2021,부산,31.3
2021,대구,31.03
2021,인천,30.95
2021,광주,31.04
2021,대전,30.63
2021,울산,30.59
2021,세종,31.1
2021,경기,31.07
2021,강원,30.55
2021,충북,30.36
2021,충남,30.18
2021,전북,30.62
2021,전남,30.42
2021,경북,30.68
2021,경남,30.89
2021,제주,31.08
2022,서울,32.15
2022,부산,31.67
2022,대구,31.22
2022,인천,31.29
2022,광주,31.1
2022,대전,30.89
2022,울산,30.79
2022,세종,31.41
2022,경기,31.33
2022,강원,30.83
2022,충북,30.56
2022,충남,30.57
2022,전북,30.88
2022,전남,30.81
2022,경북,30.8
2022,경남,30.94
2022,제주,31.76
2023,서울,32.42
2023,부산,31.95
2023,대구,31.43
2023,인천,31.57
2023,광주,31.26
2023,대전,31.19
2023,울산,31.07
2023,세종,31.76
2023,경기,31.59
2023,강원,31.08
2023,충북,30.81
2023,충남,30.94
2023,전북,31.0
2023,전남,30.83
2023,경북,31.06
2023,경남,31.26
2023,제주,31.72
