시점,지역,고용률(%)
2009,제주,44.4
2010,서울,44.2
2010,부산,34.7
2010,대구,38.2
2010,인천,43.7
2010,광주,37.9
2010,대전,37.5
2010,울산,39.9
2010,경기,41.7
2010,강원,37.3
2010,충북,38.1
2010,충남,43.4
2010,전북,31.5
2010,전남,36.5
2010,경북,39.9
2010,경남,36.8
2010,제주,39.4
2011,서울,45.5
2011,부산,34.8
2011,대구,38.1
2011,인천,42.8
2011,광주,37.3
2011,대전,37.1
2011,울산,39.0
2011,경기,41.8
2011,강원,36.3
2011,충북,38.6
2011,충남,43.3
2011,전북,30.4
2011,전남,36.2
2011,경북,37.8
2011,경남,37.6
2011,제주,41.2
2012,서울,43.9
2012,부산,38.4
2012,대구,37.6
2012,인천,42.9
2012,광주,35.5
2012,대전,36.5
2012,울산,37.4
2012,경기,42.1
2012,강원,35.6
2012,충북,36.4
2012,충남,43.0
2012,전북,33.0
2012,전남,36.1
2012,경북,38.3
2012,경남,37.1
2012,제주,42.2
2013,서울,42.7
2013,부산,37.3
2013,대구,35.7
2013,인천,41.3
2013,광주,33.9
2013,대전,36.9
2013,울산,37.7
2013,경기,41.3
2013,강원,34.3
2013,충북,38.9
2013,충남,42.0
2013,전북,34.9
2013,전남,38.0
2013,경북,36.9
2013,경남,36.4
2013,제주,41.4
2014,서울,42.9
2014,부산,38.2
2014,대구,37.4
2014,인천,41.5
2014,광주,36.7
2014,대전,39.2
2014,울산,38.5
2014,경기,42.4
2014,강원,33.3
2014,충북,41.6
2014,충남,42.5
2014,전북,35.4
2014,전남,36.6
2014,경북,42.1
2014,경남,36.0
2014,제주,41.9
2015,서울,43.8
2015,부산,38.8
2015,대구,39.3
2015,인천,42.2
2015,광주,35.3
2015,대전,38.9
2015,울산,38.3
2015,경기,43.9
2015,강원,33.3
2015,충북,41.6
2015,충남,44.0
2015,전북,34.8
2015,전남,36.9
2015,경북,41.1
2015,경남,36.9
2015,제주,43.2
2016,서울,44.6
2016,부산,40.3
2016,대구,38.3
2016,인천,44.4
2016,광주,34.1
2016,대전,41.1
2016,울산,38.7
2016,경기,44.0
2016,강원,35.6
2016,충북,42.0
2016,충남,42.5
2016,전북,33.8
2016,전남,36.7
2016,경북,40.0
2016,경남,40.0
2016,제주,46.5
2017,서울,45.3
2017,부산,41.2
2017,대구,35.2
2017,인천,45.1
2017,광주,36.3
2017,대전,40.2
2017,울산,40.9
2017,세종,37.5
2017,경기,44.8
2017,강원,41.2
2017,충북,43.4
2017,충남,40.4
2017,전북,32.7
2017,전남,35.8
2017,경북,39.4
2017,경남,39.0
2017,제주,47.8
2018,서울,46.1
2018,부산,40.4
2018,대구,36.3
2018,인천,47.9
2018,광주,39.4
2018,대전,38.1
2018,울산,40.4
2018,세종,38.1
2018,경기,45.3
2018,강원,42.4
2018,충북,45.5
2018,충남,43.7
2018,전북,31.7
2018,전남,36.6
2018,경북,37.3
2018,경남,38.7
2018,제주,45.9
2019,서울,47.5
2019,부산,42.9
2019,대구,39.8
2019,인천,48.8
2019,광주,39.6
2019,대전,40.6
2019,울산,39.1
2019,세종,35.1
2019,경기,45.4
2019,강원,42.4
2019,충북,43.5
2019,충남,45.1
2019,전북,32.7
2019,전남,37.4
2019,경북,38.7
2019,경남,39.3
2019,제주,43.7
2020,서울,46.6
2020,부산,40.5
2020,대구,37.8
2020,인천,46.8
2020,광주,39.6
2020,대전,44.7
2020,울산,37.6
2020,세종,36.6
2020,경기,43.1
2020,강원,40.8
2020,충북,43.4
2020,충남,42.0
2020,전북,31.5
2020,전남,37.9
2020,경북,38.0
2020,경남,37.7
2020,제주,41.6
2021,서울,50.5
2021,부산,41.2
2021,대구,42.6
2021,인천,46.9
2021,광주,37.3
2021,대전,45.0
2021,울산,36.5
2021,세종,35.1
2021,경기,45.5
2021,강원,40.2
2021,충북,46.2
2021,충남,42.4
2021,전북,36.5
2021,전남,37.2
2021,경북,38.7
2021,경남,39.4
2021,제주,42.6
2022,서울,51.5
2022,부산,42.0
2022,대구,41.3
2022,인천,50.6
2022,광주,38.8
2022,대전,48.0
2022,울산,40.5
2022,세종,33.9
2022,경기,50.0
2022,강원,40.0
2022,충북,49.4
2022,충남,45.2
2022,전북,38.6
2022,전남,40.1
2022,경북,42.1
2022,경남,39.9
2022,제주,47.5
2023,서울,51.8
2023,부산,43.9
2023,대구,42.3
2023,인천,49.2
2023,광주,38.9
2023,대전,44.4
2023,울산,40.3
2023,세종,33.1
2023,경기,49.9
2023,강원,43.6
2023,충북,47.9
2023,충남,44.7
2023,전북,38.8
2023,전남,39.4
2023,경북,39.2
2023,경남,39.0
2023,제주,46.4
