"시점","지역별",흡연율
"2020","경상남도",19.2
"2020","제주특별자치도",18.8
"2021","서울",15.8
"2021","부산광역시",17.8
"2021","대구광역시",18.8
"2021","인천광역시",19.6
"2021","광주광역시",17.4
"2021","대전광역시",17.8
"2021","울산광역시",18.7
"2021","세종특별자치시",15.1
"2021","경기도",18.1
"2021","강원특별자치도",21.0
"2021","충청북도",21.0
"2021","충청남도",20.0
"2021","전북특별자치도",18.3
"2021","전라남도",17.9
"2021","경상북도",20.4
"2021","경상남도",18.5
"2021","제주특별자치도",20.0
"2022","서울",16.3
"2022","부산광역시",18.3
"2022","대구광역시",17.4
"2022","인천광역시",20.3
"2022","광주광역시",18.4
"2022","대전광역시",18.5
"2022","울산광역시",19.8
"2022","세종특별자치시",15.1
"2022","경기도",18.4
"2022","강원특별자치도",20.5
"2022","충청북도",20.7
"2022","충청남도",20.5
"2022","전북특별자치도",20.6
"2022","전라남도",19.4
"2022","경상북도",20.6
"2022","경상남도",19.7
"2022","제주특별자치도",21.9
"2023","서울",17.9
"2023","부산광역시",18.8
"2023","대구광역시",19.4
"2023","인천광역시",19.3
"2023","광주광역시",18.3
"2023","대전광역시",19.0
"2023","울산광역시",19.7
"2023","세종특별자치시",13.2
"2023","경기도",19.2
"2023","강원특별자치도",22.3
"2023","충청북도",21.9
"2023","충청남도",22.2
"2023","전북특별자치도",20.6
"2023","전라남도",20.2
"2023","경상북도",21.3
"2023","경상남도",19.1
"2023","제주특별자치도",19.1
