"지역별","특성별(2)",시점,인터넷이용률
"경상","경남",2020,89.5
"경상","경남",2021,94.9
"경상","경남",2022,94.0
"경상","경남",2023,94.7
"제주","소계",2012,74.5
"제주","소계",2013,80.8
"제주","소계",2014,83.8
"제주","소계",2015,85.9
"제주","소계",2016,86.3
"제주","소계",2017,86.7
"제주","소계",2018,88.9
"제주","소계",2019,88.8
"제주","소계",2020,89.1
"제주","소계",2021,87.8
"제주","소계",2022,96.0
"제주","소계",2023,89.9
