시점,근로시간,지역별
2013.04,2115.3,경기
2013.05,2114.4,경기
2013.06,2113.5,경기
2013.07,2112.6,경기
2013.08,2111.7,경기
2013.09,2110.8,경기
2013.10,2109.9,경기
2013.11,2109.0,경기
2013.12,2108.1,경기
2014.01,2107.2,경기
2014.02,2107.7,경기
2014.03,2108.2,경기
2014.04,2108.7,경기
2014.05,2109.2,경기
2014.06,2109.7,경기
2014.07,2110.2,경기
2014.08,2110.7,경기
2014.09,2111.2,경기
2014.10,2111.7,경기
2014.11,2112.2,경기
2014.12,2112.7,경기
2015.01,2113.2,경기
2015.02,2102.6,경기
2015.03,2092.0,경기
2015.04,2081.4,경기
2015.05,2070.8,경기
2015.06,2060.2,경기
2015.07,2049.6,경기
2015.08,2039.0,경기
2015.09,2028.4,경기
2015.10,2017.8,경기
2015.11,2007.2,경기
2015.12,1996.6,경기
2016.01,1986.0,경기
2016.02,1982.9,경기
2016.03,1979.8,경기
2016.04,1976.7,경기
2016.05,1973.6,경기
2016.06,1970.5,경기
2016.07,1967.4,경기
2016.08,1964.3,경기
2016.09,1961.2,경기
2016.10,1958.1,경기
2016.11,1955.0,경기
2016.12,1951.9,경기
2017.01,1948.8,경기
2017.02,1953.2,경기
2017.03,1957.6,경기
2017.04,1962.0,경기
2017.05,1966.4,경기
2017.06,1970.8,경기
2017.07,1975.2,경기
2017.08,1979.6,경기
2017.09,1984.0,경기
2017.10,1988.4,경기
2017.11,1992.8,경기
2017.12,1997.2,경기
2018.01,2001.6,경기
2018.02,2007.9,경기
2018.03,2014.2,경기
2018.04,2020.5,경기
2018.05,2026.8,경기
2018.06,2033.1,경기
2018.07,2039.4,경기
2018.08,2045.7,경기
2018.09,2052.0,경기
2018.10,2058.3,경기
2018.11,2064.6,경기
2018.12,2070.9,경기
2019.01,2077.2,경기
2019.02,1917.2,경기
2019.03,1757.2,경기
2019.04,1597.2,경기
2019.05,1437.2,경기
2019.06,1277.2,경기
2019.07,1117.2,경기
2019.08,957.2,경기
2019.09,797.2,경기
2019.10,637.2,경기
2019.11,477.2,경기
2019.12,317.2,경기
2020.01,157.2,경기
2020.02,158.3,경기
2020.03,159.4,경기
2020.04,160.5,경기
2020.05,161.6,경기
2020.06,162.7,경기
2020.07,163.8,경기
2020.08,164.9,경기
2020.09,166.0,경기
2020.10,167.1,경기
2020.11,168.2,경기
2020.12,169.3,경기
2021.01,170.4,경기
2021.02,169.7,경기
2021.03,169.0,경기
2021.04,168.3,경기
2021.05,167.6,경기
2021.06,166.9,경기
2021.07,166.2,경기
2021.08,165.5,경기
2021.09,164.8,경기
2021.10,164.1,경기
2021.11,163.4,경기
2021.12,162.7,경기
2022.01,162.0,경기
2022.02,161.4,경기
2022.03,160.8,경기
2022.04,160.2,경기
2022.05,159.6,경기
2022.06,159.0,경기
2022.07,158.4,경기
2022.08,157.8,경기
2022.09,157.2,경기
2022.10,156.6,경기
2022.11,156.0,경기
2022.12,155.4,경기
2023.01,154.8,경기
2011.01,2061.6,경남
2011.02,2055.1,경남
2011.03,2048.6,경남
2011.04,2042.1,경남
2011.05,2035.6,경남
2011.06,2029.1,경남
2011.07,2022.6,경남
2011.08,2016.1,경남
2011.09,2009.6,경남
2011.10,2003.1,경남
2011.11,1996.6,경남
2011.12,1990.1,경남
2012.01,1983.6,경남
2012.02,1991.8,경남
2012.03,2000.0,경남
2012.04,2008.2,경남
2012.05,2016.4,경남
2012.06,2024.6,경남
2012.07,2032.8,경남
2012.08,2041.0,경남
2012.09,2049.2,경남
2012.10,2057.4,경남
2012.11,2065.6,경남
2012.12,2073.8,경남
2013.01,2082.0,경남
2013.02,2083.2,경남
2013.03,2084.4,경남
2013.04,2085.6,경남
2013.05,2086.8,경남
2013.06,2088.0,경남
2013.07,2089.2,경남
2013.08,2090.4,경남
2013.09,2091.6,경남
2013.10,2092.8,경남
2013.11,2094.0,경남
2013.12,2095.2,경남
2014.01,2096.4,경남
2014.02,2094.8,경남
2014.03,2093.2,경남
2014.04,2091.6,경남
2014.05,2090.0,경남
2014.06,2088.4,경남
2014.07,2086.8,경남
2014.08,2085.2,경남
2014.09,2083.6,경남
2014.10,2082.0,경남
2014.11,2080.4,경남
2014.12,2078.8,경남
2015.01,2077.2,경남
2015.02,2066.2,경남
2015.03,2055.2,경남
2015.04,2044.2,경남
2015.05,2033.2,경남
2015.06,2022.2,경남
2015.07,2011.2,경남
2015.08,2000.2,경남
2015.09,1989.2,경남
2015.10,1978.2,경남
2015.11,1967.2,경남
2015.12,1956.2,경남
2016.01,1945.2,경남
2016.02,1942.9,경남
2016.03,1940.6,경남
2016.04,1938.3,경남
2016.05,1936.0,경남
2016.06,1933.7,경남
2016.07,1931.4,경남
2016.08,1929.1,경남
2016.09,1926.8,경남
2016.10,1924.5,경남
2016.11,1922.2,경남
2016.12,1919.9,경남
2017.01,1917.6,경남
2017.02,1921.2,경남
2017.03,1924.8,경남
2017.04,1928.4,경남
2017.05,1932.0,경남
2017.06,1935.6,경남
2017.07,1939.2,경남
2017.08,1942.8,경남
2017.09,1946.4,경남
2017.10,1950.0,경남
2017.11,1953.6,경남
2017.12,1957.2,경남
2018.01,1960.8,경남
2018.02,1966.9,경남
2018.03,1973.0,경남
2018.04,1979.1,경남
2018.05,1985.2,경남
2018.06,1991.3,경남
2018.07,1997.4,경남
2018.08,2003.5,경남
2018.09,2009.6,경남
2018.10,2015.7,경남
2018.11,2021.8,경남
2018.12,2027.9,경남
2019.01,2034.0,경남
2019.02,1877.3,경남
2019.03,1720.6,경남
2019.04,1563.9,경남
2019.05,1407.2,경남
2019.06,1250.5,경남
2019.07,1093.8,경남
2019.08,937.1,경남
2019.09,780.4,경남
2019.10,623.7,경남
2019.11,467.0,경남
2019.12,310.3,경남
2020.01,153.6,경남
2020.02,154.7,경남
2020.03,155.8,경남
2020.04,156.9,경남
2020.05,158.0,경남
2020.06,159.1,경남
2020.07,160.2,경남
2020.08,161.3,경남
2020.09,162.4,경남
2020.10,163.5,경남
2020.11,164.6,경남
2020.12,165.7,경남
2021.01,166.8,경남
2021.02,166.2,경남
2021.03,165.6,경남
2021.04,165.0,경남
2021.05,164.4,경남
2021.06,163.8,경남
2021.07,163.2,경남
2021.08,162.6,경남
2021.09,162.0,경남
2021.10,161.4,경남
2021.11,160.8,경남
2021.12,160.2,경남
2022.01,159.6,경남
2022.02,159.2,경남
2022.03,158.8,경남
2022.04,158.4,경남
2022.05,158.0,경남
2022.06,157.6,경남
2022.07,157.2,경남
2022.08,156.8,경남
2022.09,156.4,경남
2022.10,156.0,경남
2022.11,155.6,경남
2022.12,155.2,경남
2023.01,154.8,경남
2011.01,2029.2,경북
2011.02,2021.4,경북
2011.03,2013.6,경북
2011.04,2005.8,경북
2011.05,1998.0,경북
2011.06,1990.2,경북
2011.07,1982.4,경북
2011.08,1974.6,경북
2011.09,1966.8,경북
2011.10,1959.0,경북
2011.11,1951.2,경북
2011.12,1943.4,경북
2012.01,1935.6,경북
2012.02,1946.4,경북
2012.03,1957.2,경북
2012.04,1968.0,경북
2012.05,1978.8,경북
2012.06,1989.6,경북
2012.07,2000.4,경북
2012.08,2011.2,경북
2012.09,2022.0,경북
2012.10,2032.8,경북
2012.11,2043.6,경북
2012.12,2054.4,경북
2013.01,2065.2,경북
2013.02,2066.1,경북
2013.03,2067.0,경북
2013.04,2067.9,경북
2013.05,2068.8,경북
2013.06,2069.7,경북
2013.07,2070.6,경북
2013.08,2071.5,경북
2013.09,2072.4,경북
2013.10,2073.3,경북
2013.11,2074.2,경북
2013.12,2075.1,경북
2014.01,2076.0,경북
2014.02,2074.3,경북
2014.03,2072.6,경북
2014.04,2070.9,경북
2014.05,2069.2,경북
2014.06,2067.5,경북
2014.07,2065.8,경북
2014.08,2064.1,경북
2014.09,2062.4,경북
2014.10,2060.7,경북
2014.11,2059.0,경북
2014.12,2057.3,경북
2015.01,2055.6,경북
2015.02,2047.0,경북
2015.03,2038.4,경북
2015.04,2029.8,경북
2015.05,2021.2,경북
2015.06,2012.6,경북
2015.07,2004.0,경북
2015.08,1995.4,경북
2015.09,1986.8,경북
2015.10,1978.2,경북
2015.11,1969.6,경북
2015.12,1961.0,경북
2016.01,1952.4,경북
2016.02,1951.0,경북
2016.03,1949.6,경북
2016.04,1948.2,경북
2016.05,1946.8,경북
2016.06,1945.4,경북
2016.07,1944.0,경북
2016.08,1942.6,경북
2016.09,1941.2,경북
2016.10,1939.8,경북
2016.11,1938.4,경북
2016.12,1937.0,경북
2017.01,1935.6,경북
2017.02,1938.0,경북
2017.03,1940.4,경북
2017.04,1942.8,경북
2017.05,1945.2,경북
2017.06,1947.6,경북
2017.07,1950.0,경북
2017.08,1952.4,경북
2017.09,1954.8,경북
2017.10,1957.2,경북
2017.11,1959.6,경북
2017.12,1962.0,경북
2018.01,1964.4,경북
2018.02,1969.3,경북
2018.03,1974.2,경북
2018.04,1979.1,경북
2018.05,1984.0,경북
2018.06,1988.9,경북
2018.07,1993.8,경북
2018.08,1998.7,경북
2018.09,2003.6,경북
2018.10,2008.5,경북
2018.11,2013.4,경북
2018.12,2018.3,경북
2019.01,2023.2,경북
2019.02,1867.2,경북
2019.03,1711.2,경북
2019.04,1555.2,경북
2019.05,1399.2,경북
2019.06,1243.2,경북
2019.07,1087.2,경북
2019.08,931.2,경북
2019.09,775.2,경북
2019.10,619.2,경북
2019.11,463.2,경북
2019.12,307.2,경북
2020.01,151.2,경북
2020.02,152.3,경북
2020.03,153.4,경북
2020.04,154.5,경북
2020.05,155.6,경북
2020.06,156.7,경북
2020.07,157.8,경북
2020.08,158.9,경북
2020.09,160.0,경북
2020.10,161.1,경북
2020.11,162.2,경북
2020.12,163.3,경북
2021.01,164.4,경북
2021.02,163.8,경북
2021.03,163.2,경북
2021.04,162.6,경북
2021.05,162.0,경북
2021.06,161.4,경북
2021.07,160.8,경북
2021.08,160.2,경북
2021.09,159.6,경북
2021.10,159.0,경북
2021.11,158.4,경북
2021.12,157.8,경북
2022.01,157.2,경북
2022.02,156.9,경북
2022.03,156.6,경북
2022.04,156.3,경북
2022.05,156.0,경북
2022.06,155.7,경북
2022.07,155.4,경북
2022.08,155.1,경북
2022.09,154.8,경북
2022.10,154.5,경북
