시점,지역별,총소득,사교육비
2017.08,광역시,417178055,45855
2017.08,대도시외,1131164377,106208
2017.08,서울,453001084,44988
2017.09,광역시,417705171,45980
2017.09,대도시외,1134171407,106917
2017.09,서울,454500156,45100
2017.10,광역시,418232288,46105
2017.10,대도시외,1137178438,107625
2017.10,서울,455999227,45211
2017.11,광역시,418759404,46231
2017.11,대도시외,1140185468,108334
2017.11,서울,457498299,45322
2017.12,광역시,419286521,46356
2017.12,대도시외,1143192498,109042
2017.12,서울,458997371,45433
2018.01,광역시,419813638,46482
2018.01,대도시외,1146199529,109751
2018.01,서울,460496443,45545
2018.02,광역시,420484290,46479
2018.02,대도시외,1148385143,109741
2018.02,서울,461722277,45612
2018.03,광역시,421154942,46477
2018.03,대도시외,1150570758,109731
2018.03,서울,462948111,45679
2018.04,광역시,421825594,46475
2018.04,대도시외,1152756373,109720
2018.04,서울,464173946,45746
2018.05,광역시,422496246,46473
2018.05,대도시외,1154941988,109710
2018.05,서울,465399780,45813
2018.06,광역시,423166898,46470
2018.06,대도시외,1157127603,109700
2018.06,서울,466625614,45880
2018.07,광역시,423837550,46468
2018.07,대도시외,1159313218,109690
2018.07,서울,467851449,45947
2018.08,광역시,424508202,46466
2018.08,대도시외,1161498832,109680
2018.08,서울,469077283,46015
2018.09,광역시,425178854,46463
2018.09,대도시외,1163684447,109670
2018.09,서울,470303117,46082
2018.10,광역시,425849506,46461
2018.10,대도시외,1165870062,109659
2018.10,서울,471528952,46149
2018.11,광역시,426520158,46459
2018.11,대도시외,1168055677,109649
2018.11,서울,472754786,46216
2018.12,광역시,427190810,46456
2018.12,대도시외,1170241292,109639
2018.12,서울,473980620,46283
2019.01,광역시,427861462,46454
2019.01,대도시외,1172426907,109629
2019.01,서울,475206455,46350
2019.02,광역시,426888946,46642
2019.02,대도시외,1172510949,110047
2019.02,서울,475011185,46554
2019.03,광역시,425916430,46830
2019.03,대도시외,1172594991,110464
2019.03,서울,474815915,46758
2019.04,광역시,424943915,47019
2019.04,대도시외,1172679033,110882
2019.04,서울,474620646,46962
2019.05,광역시,423971399,47207
2019.05,대도시외,1172763075,111300
2019.05,서울,474425376,47166
2019.06,광역시,422998884,47395
2019.06,대도시외,1172847117,111718
2019.06,서울,474230106,47369
2019.07,광역시,422026368,47583
2019.07,대도시외,1172931159,112135
2019.07,서울,474034837,47573
2019.08,광역시,421053852,47771
2019.08,대도시외,1173015201,112553
2019.08,서울,473839567,47777
2019.09,광역시,420081337,47960
2019.09,대도시외,1173099243,112971
2019.09,서울,473644297,47981
2019.10,광역시,419108821,48148
2019.10,대도시외,1173183285,113389
2019.10,서울,473449028,48185
2019.11,광역시,418136306,48336
2019.11,대도시외,1173267327,113806
2019.11,서울,473253758,48389
2019.12,광역시,417163790,48524
2019.12,대도시외,1173351369,114224
2019.12,서울,473058488,48592
2020.01,광역시,416191275,48712
2020.01,대도시외,1173435412,114642
2020.01,서울,472863219,48796
2020.02,광역시,417660584,49324
2020.02,대도시외,1178214266,116331
2020.02,서울,474407010,49299
2020.03,광역시,419129893,49935
2020.03,대도시외,1182993120,118020
2020.03,서울,475950801,49801
2020.04,광역시,420599202,50547
2020.04,대도시외,1187771974,119710
2020.04,서울,477494592,50304
2020.05,광역시,422068511,51158
2020.05,대도시외,1192550828,121399
2020.05,서울,479038384,50806
2020.06,광역시,423537820,51769
2020.06,대도시외,1197329682,123088
2020.06,서울,480582175,51309
2020.07,광역시,425007129,52381
2020.07,대도시외,1202108537,124777
2020.07,서울,482125966,51811
2020.08,광역시,426476438,52992
2020.08,대도시외,1206887391,126466
2020.08,서울,483669757,52314
2020.09,광역시,427945747,53604
2020.09,대도시외,1211666245,128155
2020.09,서울,485213549,52816
2020.10,광역시,429415056,54215
2020.10,대도시외,1216445099,129845
2020.10,서울,486757340,53319
2020.11,광역시,430884365,54827
2020.11,대도시외,1221223953,131534
2020.11,서울,488301131,53821
2020.12,광역시,432353674,55438
2020.12,대도시외,1226002807,133223
2020.12,서울,489844922,54324
2021.01,광역시,433822983,56050
2021.01,대도시외,1230781662,134912
2021.01,서울,491388714,54827
2021.02,광역시,434996651,56396
2021.02,대도시외,1233450399,135859
2021.02,서울,492469613,55122
2021.03,광역시,436170320,56743
2021.03,대도시외,1236119137,136805
2021.03,서울,493550512,55417
2021.04,광역시,437343988,57090
2021.04,대도시외,1238787874,137752
2021.04,서울,494631412,55712
2021.05,광역시,438517657,57437
2021.05,대도시외,1241456612,138698
2021.05,서울,495712311,56008
2021.06,광역시,439691325,57784
2021.06,대도시외,1244125349,139645
2021.06,서울,496793211,56303
2021.07,광역시,440864994,58131
2021.07,대도시외,1246794087,140591
2021.07,서울,497874110,56598
2021.08,광역시,442038663,58478
2021.08,대도시외,1249462825,141538
2021.08,서울,498955009,56894
2021.09,광역시,443212331,58825
2021.09,대도시외,1252131562,142484
2021.09,서울,500035909,57189
2021.10,광역시,444386000,59172
2021.10,대도시외,1254800300,143431
2021.10,서울,501116808,57484
2021.11,광역시,445559668,59519
2021.11,대도시외,1257469037,144377
2021.11,서울,502197708,57780
2021.12,광역시,446733337,59866
2021.12,대도시외,1260137775,145324
2021.12,서울,503278607,58075
2022.01,광역시,NaN,60213
2022.01,대도시외,NaN,146271
2022.01,서울,NaN,58370
