시점,저출산율,지역별
2012.07,1.31,강원
2012.08,1.30,강원
2012.09,1.29,강원
2012.10,1.28,강원
2012.11,1.27,강원
2012.12,1.26,강원
2013.01,1.25,강원
2013.02,1.25,강원
2013.03,1.25,강원
2013.04,1.25,강원
2013.05,1.25,강원
2013.06,1.25,강원
2013.07,1.25,강원
2013.08,1.25,강원
2013.09,1.25,강원
2013.10,1.25,강원
2013.11,1.25,강원
2013.12,1.25,강원
2014.01,1.25,강원
2014.02,1.25,강원
2014.03,1.26,강원
2014.04,1.26,강원
2014.05,1.27,강원
2014.06,1.27,강원
2014.07,1.28,강원
2014.08,1.28,강원
2014.09,1.29,강원
2014.10,1.30,강원
2014.11,1.30,강원
2014.12,1.31,강원
2015.01,1.31,강원
2015.02,1.30,강원
2015.03,1.30,강원
2015.04,1.29,강원
2015.05,1.29,강원
2015.06,1.28,강원
2015.07,1.27,강원
2015.08,1.27,강원
2015.09,1.26,강원
2015.10,1.26,강원
2015.11,1.25,강원
2015.12,1.24,강원
2016.01,1.24,강원
2016.02,1.23,강원
2016.03,1.22,강원
2016.04,1.21,강원
2016.05,1.20,강원
2016.06,1.19,강원
2016.07,1.18,강원
2016.08,1.17,강원
2016.09,1.16,강원
2016.10,1.15,강원
2016.11,1.14,강원
2016.12,1.13,강원
2017.01,1.12,강원
2017.02,1.12,강원
2017.03,1.11,강원
2017.04,1.11,강원
2017.05,1.10,강원
2017.06,1.10,강원
2017.07,1.09,강원
2017.08,1.09,강원
2017.09,1.09,강원
2017.10,1.08,강원
2017.11,1.08,강원
2017.12,1.07,강원
2018.01,1.07,강원
2018.02,1.07,강원
2018.03,1.07,강원
2018.04,1.07,강원
2018.05,1.07,강원
2018.06,1.07,강원
2018.07,1.07,강원
2018.08,1.08,강원
2018.09,1.08,강원
2018.10,1.08,강원
2018.11,1.08,강원
2018.12,1.08,강원
2019.01,1.08,강원
2019.02,1.08,강원
2019.03,1.07,강원
2019.04,1.07,강원
2019.05,1.07,강원
2019.06,1.06,강원
2019.07,1.06,강원
2019.08,1.06,강원
2019.09,1.05,강원
2019.10,1.05,강원
2019.11,1.04,강원
2019.12,1.04,강원
2020.01,1.04,강원
2020.02,1.03,강원
2020.03,1.03,강원
2020.04,1.02,강원
2020.05,1.02,강원
2020.06,1.01,강원
2020.07,1.01,강원
2020.08,1.00,강원
2020.09,1.00,강원
2020.10,0.99,강원
2020.11,0.99,강원
2020.12,0.98,강원
2021.01,0.98,강원
2021.02,0.98,강원
2021.03,0.98,강원
2021.04,0.98,강원
2021.05,0.98,강원
2021.06,0.97,강원
2021.07,0.97,강원
2021.08,0.97,강원
2021.09,0.97,강원
2021.10,0.97,강원
2021.11,0.97,강원
2021.12,0.97,강원
2022.01,0.97,강원
2022.02,0.96,강원
2022.03,0.96,강원
2022.04,0.95,강원
2022.05,0.94,강원
2022.06,0.94,강원
2022.07,0.93,강원
2022.08,0.92,강원
2022.09,0.92,강원
2022.10,0.91,강원
2022.11,0.91,강원
2022.12,0.90,강원
2023.01,0.89,강원
2000.01,1.63,경기
2000.02,1.61,경기
2000.03,1.60,경기
2000.04,1.58,경기
2000.05,1.56,경기
2000.06,1.55,경기
2000.07,1.53,경기
2000.08,1.52,경기
2000.09,1.50,경기
2000.10,1.48,경기
2000.11,1.47,경기
2000.12,1.45,경기
2001.01,1.44,경기
2001.02,1.43,경기
2001.03,1.42,경기
2001.04,1.40,경기
2001.05,1.39,경기
2001.06,1.38,경기
2001.07,1.37,경기
2001.08,1.36,경기
2001.09,1.35,경기
2001.10,1.34,경기
2001.11,1.33,경기
2001.12,1.32,경기
