시점,학생수,지역별,사설학원수,사교육참여율,수술인원
2006.09,,전북,3204,,55218
2006.09,,제주,917,,13812
2006.09,,충남,2616,,57654
2006.09,,충북,2199,,40666
2006.10,,강원,2289,,40468
2006.10,,경기,15576,,289130
2006.10,,경남,5718,,89789
2006.10,,경북,3346,,70230
2006.10,,광주,2475,,35329
2006.10,,대구,2957,,60776
2006.10,,대전,2092,,36965
2006.10,,부산,4762,,98257
2006.10,,서울,11610,,253634
2006.10,,울산,2364,,31853
2006.10,,인천,2676,,67160
2006.10,,전남,2614,,57202
2006.10,,전북,3219,,55200
2006.10,,제주,920,,13894
2006.10,,충남,2627,,57606
2006.10,,충북,2204,,40826
2006.11,,강원,2298,,40604
2006.11,,경기,15581,,291725
2006.11,,경남,5760,,90258
2006.11,,경북,3349,,70340
2006.11,,광주,2457,,35462
2006.11,,대구,2948,,60952
2006.11,,대전,2104,,37176
2006.11,,부산,4767,,98807
2006.11,,서울,11590,,255138
2006.11,,울산,2358,,32099
2006.11,,인천,2679,,67689
2006.11,,전남,2622,,57077
2006.11,,전북,3234,,55182
2006.11,,제주,922,,13976
2006.11,,충남,2638,,57559
2006.11,,충북,2210,,40986
2006.12,,강원,2306,,40741
2006.12,,경기,15586,,294320
2006.12,,경남,5802,,90726
2006.12,,경북,3352,,70450
2006.12,,광주,2438,,35594
2006.12,,대구,2938,,61127
2006.12,,대전,2116,,37388
2006.12,,부산,4773,,99357
2006.12,,서울,11569,,256643
2006.12,,울산,2352,,32346
2006.12,,인천,2681,,68218
2006.12,,전남,2630,,56952
2006.12,,전북,3249,,55163
2006.12,,제주,925,,14057
2006.12,,충남,2649,,57511
2006.12,,충북,2215,,41147
2007.01,,강원,2315,,40877
2007.01,,경기,15591,,296915
2007.01,,경남,5844,,91195
2007.01,,경북,3355,,70560
2007.01,,광주,2420,,35726
2007.01,,대구,2929,,61303
2007.01,,대전,2128,,37599
2007.01,,부산,4779,,99907
2007.01,,서울,11549,,258148
2007.01,,울산,2346,,32592
2007.01,,인천,2684,,68746
2007.01,,전남,2637,,56827
2007.01,,전북,3264,,55145
2007.01,,제주,927,,14139
2007.01,,충남,2660,,57463
2007.01,,충북,2221,,41307
2007.02,,강원,2316,,40857
2007.02,,경기,15672,,297795
2007.02,,경남,5862,,91140
2007.02,,경북,3351,,70419
2007.02,,광주,2448,,35822
2007.02,,대구,2933,,61396
2007.02,,대전,2128,,37707
2007.02,,부산,4777,,99934
2007.02,,서울,11587,,258717
2007.02,,울산,2358,,32770
2007.02,,인천,2700,,69011
2007.02,,전남,2644,,56618
2007.02,,전북,3268,,55010
2007.02,,제주,928,,14068
2007.02,,충남,2674,,57369
2007.02,,충북,2226,,41253
2007.03,,강원,2316,,40836
2007.03,,경기,15754,,298675
2007.03,,경남,5879,,91086
2007.03,,경북,3347,,70278
2007.03,,광주,2477,,35918
2007.03,,대구,2937,,61490
2007.03,,대전,2129,,37815
2007.03,,부산,4774,,99960
2007.03,,서울,11625,,259286
2007.03,,울산,2371,,32949
2007.03,,인천,2716,,69276
2007.03,,전남,2652,,56410
2007.03,,전북,3272,,54874
2007.03,,제주,928,,13996
2007.03,,충남,2688,,57275
2007.03,,충북,2230,,41199
2007.04,,강원,2317,,40816
2007.04,,경기,15835,,299556
2007.04,,경남,5897,,91031
2007.04,,경북,3343,,70137
2007.04,,광주,2505,,36014
2007.04,,대구,2941,,61583
2007.04,,대전,2130,,37924
2007.04,,부산,4772,,99987
2007.04,,서울,11663,,259854
2007.04,,울산,2383,,33127
2007.04,,인천,2733,,69540
2007.04,,전남,2660,,56201
2007.04,,전북,3276,,54738
2007.04,,제주,929,,13925
2007.04,,충남,2701,,57181
2007.04,,충북,2235,,41146
2007.05,,강원,2317,,40795
2007.05,,경기,15916,,300436
2007.05,,경남,5914,,90977
2007.05,,경북,3339,,69996
2007.05,,광주,2533,,36110
2007.05,,대구,2945,,61677
2007.05,,대전,2130,,38032
2007.05,,부산,4770,,100014
2007.05,,서울,11701,,260423
2007.05,,울산,2396,,33306
2007.05,,인천,2749,,69805
2007.05,,전남,2667,,55993
2007.05,,전북,3280,,54603
2007.05,,제주,930,,13854
2007.05,,충남,2715,,57087
2007.05,,충북,2239,,41092
2007.06,,강원,2318,,40775
2007.06,,경기,15997,,301316
2007.06,,경남,5932,,90922
2007.06,,경북,3335,,69855
2007.06,,광주,2562,,36206
2007.06,,대구,2949,,61770
2007.06,,대전,2130,,38140
2007.06,,부산,4767,,100040
2007.06,,서울,11739,,260992
2007.06,,울산,2408,,33484
2007.06,,인천,2765,,70070
2007.06,,전남,2674,,55784
2007.06,,전북,3284,,54468
2007.06,,제주,931,,13782
2007.06,,충남,2729,,56993
2007.06,,충북,2244,,41038
2007.07,,강원,2318,,40754
2007.07,,경기,16078,,302196
2007.07,,경남,5950,,90868
2007.07,,경북,3330,,69714
2007.07,,광주,2590,,36302
2007.07,,대구,2954,,61864
2007.07,,대전,2131,,38248
2007.07,,부산,4765,,100067
2007.07,,서울,11778,,261561
2007.07,,울산,2420,,33662
2007.07,,인천,2782,,70335
2007.07,,전남,2682,,55576
2007.07,,전북,3288,,54332
2007.07,,제주,932,,13711
2007.07,,충남,2742,,56900
2007.07,,충북,2248,,40984
2007.08,,강원,2319,,40734
2007.08,,경기,16160,,303076
2007.08,,경남,5967,,90813
2007.08,,경북,3326,,69574
2007.08,,광주,2618,,36397
2007.08,,대구,2958,,61957
2007.08,,대전,2132,,38356
2007.08,,부산,4763,,100094
2007.08,,서울,11816,,262130
2007.08,,울산,2433,,33841
2007.08,,인천,2798,,70600
2007.08,,전남,2690,,55367
2007.08,,전북,3293,,54196
2007.08,,제주,932,,13640
2007.08,,충남,2756,,56806
2007.08,,충북,2253,,40930
2007.09,,강원,2320,,40714
2007.09,,경기,16241,,303956
2007.09,,경남,5985,,90758
2007.09,,경북,3322,,69433
2007.09,,광주,2647,,36493
2007.09,,대구,2962,,62050
2007.09,,대전,2132,,38464
2007.09,,부산,4760,,100120
2007.09,,서울,11854,,262699
2007.09,,울산,2445,,34019
2007.09,,인천,2814,,70865
2007.09,,전남,2697,,55158
2007.09,,전북,3297,,54061
