"시점","시도별",계,남자,여자
"2012","강원특별자치도",58.3,68.6,48.5
"2012","충청북도",60.0,70.3,50.0
"2012","충청남도",63.0,75.0,50.9
"2012","전북특별자치도",58.7,70.6,47.6
"2012","전라남도",64.2,74.8,54.3
"2012","경상북도",63.8,74.6,53.5
"2012","경상남도",61.3,74.4,48.4
"2012","제주도",67.7,75.0,60.7
"2013","서울특별시",62.3,73.0,52.5
"2013","부산광역시",58.4,69.9,47.6
"2013","대구광역시",59.9,70.3,50.1
"2013","인천광역시",63.9,75.6,52.5
"2013","광주광역시",58.9,69.4,48.9
"2013","대전광역시",59.3,71.2,47.8
"2013","울산광역시",60.3,77.7,42.3
"2013","경기도",62.1,75.3,49.1
"2013","강원특별자치도",57.6,67.7,48.0
"2013","충청북도",61.2,71.8,50.8
"2013","충청남도",64.4,77.2,51.6
"2013","전북특별자치도",59.8,72.0,48.2
"2013","전라남도",64.0,74.6,54.0
"2013","경상북도",64.1,75.4,53.1
"2013","경상남도",61.6,74.1,49.3
"2013","제주도",67.7,75.7,60.0
"2014","서울특별시",63.3,73.9,53.5
"2014","부산광역시",59.0,70.9,47.9
"2014","대구광역시",61.0,71.9,50.8
"2014","인천광역시",64.3,75.5,53.3
"2014","광주광역시",60.5,71.4,50.3
"2014","대전광역시",61.2,73.0,49.8
"2014","울산광역시",59.9,77.6,41.4
"2014","경기도",63.7,76.5,51.2
"2014","강원특별자치도",58.7,68.5,49.3
"2014","충청북도",63.9,74.2,53.7
"2014","충청남도",64.5,76.7,52.2
"2014","전북특별자치도",59.8,71.8,48.4
"2014","전라남도",64.0,74.6,54.0
"2014","경상북도",65.1,76.8,53.8
"2014","경상남도",61.7,73.4,50.1
"2014","제주도",68.7,76.5,61.1
"2015","서울특별시",62.6,73.2,52.8
"2015","부산광역시",58.7,69.6,48.5
"2015","대구광역시",61.6,72.8,51.0
"2015","인천광역시",64.4,75.9,53.1
"2015","광주광역시",60.3,71.4,49.7
"2015","대전광역시",61.7,72.7,51.2
"2015","울산광역시",60.8,77.2,43.6
"2015","경기도",64.2,76.2,52.4
"2015","강원특별자치도",59.8,68.4,51.5
"2015","충청북도",64.0,73.9,54.4
"2015","충청남도",64.5,76.6,52.3
"2015","전북특별자치도",60.2,70.9,50.0
"2015","전라남도",64.4,74.8,54.5
"2015","경상북도",64.3,76.4,52.5
"2015","경상남도",62.2,74.0,50.5
"2015","제주도",69.8,77.8,62.1
"2016","서울특별시",62.6,72.8,53.2
"2016","부산광역시",58.5,69.0,48.6
"2016","대구광역시",61.9,72.6,51.7
