시점,지역별,저출산율,고용률,학생수,사설학원수,사교육참여율,수술인원,인터넷이용률,근로시간,어린이집
2013.05,충남,1.44,65.1,101.460,2700,60.833,68692,78.2,2059.6,2073
2013.05,충북,1.36,61.8,101.100,2360,61.900,51311,78.9,2094.0,1218
2013.06,강원,1.25,58.5,95.506,2296,61.483,47050,74.0,2122.4,1262
2013.06,경기,1.23,60.9,112.676,18109,72.333,329248,84.5,2113.5,13320
2013.06,경남,1.38,61.8,104.811,5755,67.217,108279,82.3,2088.0,3587
2013.06,경북,1.39,64.0,97.093,3697,64.383,87100,81.1,2069.7,2248
2013.06,광주,1.18,57.2,111.447,3422,69.342,42054,85.1,2085.0,1255
2013.06,대구,1.14,58.2,109.872,3644,71.233,68894,87.8,2150.3,1589
2013.06,대전,1.24,57.9,108.696,2129,71.783,40576,86.2,2121.6,1688
2013.06,부산,1.07,56.8,105.869,4593,66.675,120451,84.1,2144.3,1922
2013.06,서울,0.97,60.2,109.975,13516,74.750,260518,84.5,2100.1,6761
2013.06,울산,1.41,60.1,110.362,2323,67.425,34095,90.8,2027.9,938
2013.06,인천,1.20,62.3,108.888,3185,65.550,82360,82.3,2130.5,2282
2013.06,전남,1.51,64.0,91.239,2814,58.792,71678,70.2,2104.0,1230
2013.06,전북,1.32,60.4,95.622,3956,59.692,63752,74.3,2083.9,1650
2013.06,제주,1.45,67.0,110.287,987,63.942,16610,82.0,2153.8,602
2013.06,충남,1.43,65.1,101.237,2704,60.867,68636,77.7,2060.3,2070
2013.06,충북,1.36,62.7,100.855,2359,61.750,51308,78.5,2094.3,1219
2013.07,강원,1.25,59.1,95.305,2290,61.400,47068,73.7,2120.4,1261
2013.07,경기,1.23,61.1,112.175,18104,72.400,329336,84.6,2112.6,13312
2013.07,경남,1.39,61.4,104.605,5774,67.200,108290,82.4,2089.2,3580
2013.07,경북,1.39,63.3,96.815,3718,64.400,87028,82.0,2070.6,2242
2013.07,광주,1.18,57.5,110.965,3432,69.250,42048,85.5,2085.6,1256
2013.07,대구,1.15,58.1,109.320,3645,71.100,68858,88.4,2148.6,1589
2013.07,대전,1.24,57.7,108.355,2122,71.600,40570,85.8,2119.2,1689
2013.07,부산,1.07,56.5,105.395,4584,66.550,120503,84.0,2143.8,1927
2013.07,서울,0.98,60.2,109.590,13538,74.700,260452,84.7,2099.4,6764
2013.07,울산,1.41,59.7,109.985,2327,67.450,34088,91.1,2029.8,940
2013.07,인천,1.20,61.7,108.480,3182,65.600,82425,82.3,2131.8,2286
2013.07,전남,1.51,63.5,91.005,2820,58.750,71618,70.6,2104.8,1232
2013.07,전북,1.32,60.9,95.500,3961,59.650,63777,74.5,2083.8,1650
2013.07,제주,1.45,66.6,110.025,988,63.850,16640,82.3,2154.0,602
2013.07,충남,1.43,65.3,101.015,2708,60.900,68580,77.2,2061.0,2068
2013.07,충북,1.36,62.3,100.610,2358,61.600,51305,78.0,2094.6,1220
2013.08,강원,1.25,58.6,95.104,2283,61.317,47085,73.3,2118.4,1260
2013.08,경기,1.23,61.0,111.674,18099,72.467,329425,84.7,2111.7,13303
