시점,지역별,저출산율,고용률,학생수,사설학원수,사교육참여율,수술인원,인터넷이용률,근로시간,어린이집,이동인구수,인구밀집도,주택유형별,주택규모별,ratio
2016.11,11,0.85,60.5,98.098,14153.0,76.95,262758.0,90.1,1936.8,6249.667,-14582.0,16113.533,1,1,92.126
2016.11,11,0.85,60.5,98.098,14153.0,76.95,262758.0,90.1,1936.8,6249.667,-14582.0,16113.533,1,2,92.574
2016.11,11,0.85,60.5,98.098,14153.0,76.95,262758.0,90.1,1936.8,6249.667,-14582.0,16113.533,1,3,92.218
2016.12,11,0.84,60.3,97.834,14171.0,77.275,263051.0,90.3,1935.0,6237.833,-15426.0,16104.667,0,1,79.447
2016.12,11,0.84,60.3,97.834,14171.0,77.275,263051.0,90.3,1935.0,6237.833,-15426.0,16104.667,0,2,81.511
2016.12,11,0.84,60.3,97.834,14171.0,77.275,263051.0,90.3,1935.0,6237.833,-15426.0,16104.667,0,3,82.795
2016.12,11,0.84,60.3,97.834,14171.0,77.275,263051.0,90.3,1935.0,6237.833,-15426.0,16104.667,0,4,83.931
2016.12,11,0.84,60.3,97.834,14171.0,77.275,263051.0,90.3,1935.0,6237.833,-15426.0,16104.667,0,5,84.715
2016.12,11,0.84,60.3,97.834,14171.0,77.275,263051.0,90.3,1935.0,6237.833,-15426.0,16104.667,1,1,92.167
2016.12,11,0.84,60.3,97.834,14171.0,77.275,263051.0,90.3,1935.0,6237.833,-15426.0,16104.667,1,2,92.615
2016.12,11,0.84,60.3,97.834,14171.0,77.275,263051.0,90.3,1935.0,6237.833,-15426.0,16104.667,1,3,92.249
2017.01,11,0.84,59.4,97.57,14189.0,77.6,263344.0,90.5,1933.2,6226.0,-2518.0,16095.8,0,1,79.527
2017.01,11,0.84,59.4,97.57,14189.0,77.6,263344.0,90.5,1933.2,6226.0,-2518.0,16095.8,0,2,81.537
2017.01,11,0.84,59.4,97.57,14189.0,77.6,263344.0,90.5,1933.2,6226.0,-2518.0,16095.8,0,3,82.698
2017.01,11,0.84,59.4,97.57,14189.0,77.6,263344.0,90.5,1933.2,6226.0,-2518.0,16095.8,0,4,83.883
2017.01,11,0.84,59.4,97.57,14189.0,77.6,263344.0,90.5,1933.2,6226.0,-2518.0,16095.8,0,5,84.603
2017.01,11,0.84,59.4,97.57,14189.0,77.6,263344.0,90.5,1933.2,6226.0,-2518.0,16095.8,1,1,92.185
2017.01,11,0.84,59.4,97.57,14189.0,77.6,263344.0,90.5,1933.2,6226.0,-2518.0,16095.8,1,2,92.624
2017.01,11,0.84,59.4,97.57,14189.0,77.6,263344.0,90.5,1933.2,6226.0,-2518.0,16095.8,1,3,92.284
2017.02,11,0.83,59.7,97.24,14180.0,77.792,263610.0,90.6,1938.0,6207.833,-1548.0,16086.458,0,1,79.604
2017.02,11,0.83,59.7,97.24,14180.0,77.792,263610.0,90.6,1938.0,6207.833,-1548.0,16086.458,0,2,81.601
2017.02,11,0.83,59.7,97.24,14180.0,77.792,263610.0,90.6,1938.0,6207.833,-1548.0,16086.458,0,3,82.817
2017.02,11,0.83,59.7,97.24,14180.0,77.792,263610.0,90.6,1938.0,6207.833,-1548.0,16086.458,0,4,83.887
2017.02,11,0.83,59.7,97.24,14180.0,77.792,263610.0,90.6,1938.0,6207.833,-1548.0,16086.458,0,5,84.55
2017.02,11,0.83,59.7,97.24,14180.0,77.792,263610.0,90.6,1938.0,6207.833,-1548.0,16086.458,1,1,92.209
2017.02,11,0.83,59.7,97.24,14180.0,77.792,263610.0,90.6,1938.0,6207.833,-1548.0,16086.458,1,2,92.652
2017.02,11,0.83,59.7,97.24,14180.0,77.792,263610.0,90.6,1938.0,6207.833,-1548.0,16086.458,1,3,92.339
