시점,인구밀도,지역별
2016.02,2994.83,광주
2016.03,2993.97,광주
2016.04,2993.10,광주
2016.05,2992.23,광주
2016.06,2991.37,광주
2016.07,2990.5,광주
2016.08,2989.63,광주
2016.09,2988.77,광주
2016.10,2987.9,광주
2016.11,2987.03,광주
2016.12,2986.17,광주
2017.01,2985.3,광주
2017.02,2984.29,광주
2017.03,2983.28,광주
2017.04,2982.28,광주
2017.05,2981.27,광주
2017.06,2980.26,광주
2017.07,2979.25,광주
2017.08,2978.24,광주
2017.09,2977.23,광주
2017.10,2976.22,광주
2017.11,2975.22,광주
2017.12,2974.21,광주
2018.01,2973.2,광주
2018.02,2973.16,광주
2018.03,2973.12,광주
2018.04,2973.07,광주
2018.05,2973.03,광주
2018.06,2972.99,광주
2018.07,2972.95,광주
2018.08,2972.91,광주
2018.09,2972.87,광주
2018.10,2972.82,광주
2018.11,2972.78,광주
2018.12,2972.74,광주
2019.01,2972.7,광주
2019.02,2970.68,광주
2019.03,2968.67,광주
2019.04,2966.65,광주
2019.05,2964.63,광주
2019.06,2962.62,광주
2019.07,2960.6,광주
2019.08,2958.58,광주
2019.09,2956.57,광주
2019.10,2954.55,광주
2019.11,2952.53,광주
2019.12,2950.52,광주
2020.01,2948.5,광주
2020.02,2948.12,광주
2020.03,2947.75,광주
2020.04,2947.38,광주
2020.05,2947.0,광주
2020.06,2946.62,광주
2020.07,2946.25,광주
2020.08,2945.88,광주
2020.09,2945.5,광주
2020.10,2945.12,광주
2020.11,2944.75,광주
2020.12,2944.38,광주
2021.01,2944.0,광주
2021.02,2942.99,광주
2021.03,2941.98,광주
2021.04,2940.97,광주
2021.05,2939.97,광주
2021.06,2938.96,광주
2021.07,2937.95,광주
2021.08,2936.94,광주
2021.09,2935.93,광주
2021.10,2934.93,광주
2021.11,2933.92,광주
2021.12,2932.91,광주
2022.01,2931.9,광주
2022.02,2929.95,광주
2022.03,2928.0,광주
2022.04,2926.05,광주
2022.05,2924.10,광주
2022.06,2922.15,광주
2022.07,2920.2,광주
2022.08,2918.25,광주
2022.09,2916.3,광주
2022.10,2914.35,광주
2022.11,2912.4,광주
2022.12,2910.45,광주
2023.01,2908.5,광주
2015.01,2791.0,대구
2015.02,2790.53,대구
2015.03,2790.05,대구
2015.04,2789.57,대구
2015.05,2789.10,대구
2015.06,2788.62,대구
2015.07,2788.15,대구
2015.08,2787.68,대구
2015.09,2787.2,대구
2015.10,2786.73,대구
2015.11,2786.25,대구
2015.12,2785.78,대구
2016.01,2785.3,대구
2016.02,2784.54,대구
2016.03,2783.78,대구
2016.04,2783.03,대구
2016.05,2782.27,대구
2016.06,2781.51,대구
2016.07,2780.75,대구
2016.08,2779.99,대구
2016.09,2779.23,대구
2016.10,2778.47,대구
2016.11,2777.72,대구
2016.12,2776.96,대구
2017.01,2776.2,대구
2017.02,2775.41,대구
2017.03,2774.62,대구
2017.04,2773.82,대구
2017.05,2773.03,대구
2017.06,2772.24,대구
2017.07,2771.45,대구
2017.08,2770.66,대구
2017.09,2769.87,대구
2017.10,2769.07,대구
2017.11,2768.28,대구
2017.12,2767.49,대구
2018.01,2766.7,대구
2018.02,2765.33,대구
2018.03,2763.97,대구
2018.04,2762.6,대구
2018.05,2761.23,대구
2018.06,2759.87,대구
2018.07,2758.5,대구
2018.08,2757.13,대구
