"시점","시도별","연령계층별",고용률 (%)
"2022","전라남도","계",66.3
"2022","경상북도","계",62.9
"2022","경상남도","계",61.1
"2022","제주도","계",69.9
"2023","서울특별시","계",61.1
"2023","부산광역시","계",57.7
"2023","대구광역시","계",59.8
"2023","인천광역시","계",63.1
"2023","광주광역시","계",60.1
"2023","대전광역시","계",61.6
"2023","울산광역시","계",59.7
"2023","세종특별자치시","계",64.6
"2023","경기도","계",64.0
"2023","강원도","계",63.3
"2023","충청북도","계",65.4
"2023","충청남도","계",64.8
"2023","전라북도","계",63.3
"2023","전라남도","계",66.9
"2023","경상북도","계",63.5
"2023","경상남도","계",62.0
"2023","제주도","계",69.2
