"시점","행정구역별",데이터
"2005.05","경상남도",67.5
"2005.05","제주특별자치도",53.0
"2005.06","서울특별시",54.3
"2005.06","부산광역시",53.2
"2005.06","대구광역시",53.8
"2005.06","인천광역시",52.6
"2005.06","광주광역시",57.0
"2005.06","대전광역시",55.0
"2005.06","울산광역시",54.9
"2005.06","경기도",53.0
"2005.06","강원특별자치도",73.6
"2005.06","충청북도",65.8
"2005.06","충청남도",75.0
"2005.06","전북특별자치도",60.6
"2005.06","전라남도",59.0
"2005.06","경상북도",70.4
"2005.06","경상남도",67.9
"2005.06","제주특별자치도",53.2
"2005.07","서울특별시",55.2
"2005.07","부산광역시",53.2
"2005.07","대구광역시",54.4
"2005.07","인천광역시",52.6
"2005.07","광주광역시",57.2
"2005.07","대전광역시",55.2
"2005.07","울산광역시",55.3
"2005.07","경기도",53.9
"2005.07","강원특별자치도",74.0
"2005.07","충청북도",66.2
"2005.07","충청남도",75.2
"2005.07","전북특별자치도",60.9
"2005.07","전라남도",59.1
"2005.07","경상북도",70.9
"2005.07","경상남도",68.3
"2005.07","제주특별자치도",53.3
"2005.08","서울특별시",55.5
"2005.08","부산광역시",53.2
"2005.08","대구광역시",54.9
"2005.08","인천광역시",52.6
"2005.08","광주광역시",57.8
"2005.08","대전광역시",55.2
"2005.08","울산광역시",55.7
"2005.08","경기도",54.2
"2005.08","강원특별자치도",74.3
"2005.08","충청북도",66.9
"2005.08","충청남도",75.6
"2005.08","전북특별자치도",61.3
"2005.08","전라남도",59.1
"2005.08","경상북도",71.1
"2005.08","경상남도",68.5
"2005.08","제주특별자치도",53.1
"2005.09","서울특별시",55.6
"2005.09","부산광역시",53.2
"2005.09","대구광역시",55.4
"2005.09","인천광역시",52.6
"2005.09","광주광역시",58.1
"2005.09","대전광역시",55.1
"2005.09","울산광역시",56.2
"2005.09","경기도",54.2
"2005.09","강원특별자치도",75.0
"2005.09","충청북도",67.5
"2005.09","충청남도",75.7
"2005.09","전북특별자치도",61.7
"2005.09","전라남도",59.2
"2005.09","경상북도",71.3
"2005.09","경상남도",68.8
"2005.09","제주특별자치도",53.0
"2005.10","서울특별시",55.6
"2005.10","부산광역시",53.2
"2005.10","대구광역시",55.8
"2005.10","인천광역시",52.5
"2005.10","광주광역시",58.2
"2005.10","대전광역시",54.7
"2005.10","울산광역시",56.2
"2005.10","경기도",54.1
"2005.10","강원특별자치도",75.2
"2005.10","충청북도",68.3
"2005.10","충청남도",75.7
"2005.10","전북특별자치도",62.3
"2005.10","전라남도",59.2
"2005.10","경상북도",72.1
"2005.10","경상남도",68.9
"2005.10","제주특별자치도",53.0
"2005.11","서울특별시",55.7
"2005.11","부산광역시",53.1
"2005.11","대구광역시",56.0
"2005.11","인천광역시",52.4
"2005.11","광주광역시",58.4
"2005.11","대전광역시",54.4
"2005.11","울산광역시",56.1
"2005.11","경기도",54.1
"2005.11","강원특별자치도",75.3
"2005.11","충청북도",68.7
"2005.11","충청남도",75.5
"2005.11","전북특별자치도",62.4
"2005.11","전라남도",59.4
"2005.11","경상북도",72.9
"2005.11","경상남도",68.8
"2005.11","제주특별자치도",53.1
"2005.12","서울특별시",56.0
"2005.12","부산광역시",53.1
"2005.12","대구광역시",56.4
"2005.12","인천광역시",52.4
"2005.12","광주광역시",58.5
"2005.12","대전광역시",54.7
"2005.12","울산광역시",56.1
"2005.12","경기도",54.1
"2005.12","강원특별자치도",75.5
"2005.12","충청북도",68.9
"2005.12","충청남도",75.5
"2005.12","전북특별자치도",62.6
"2005.12","전라남도",59.4
"2005.12","경상북도",73.2
"2005.12","경상남도",68.9
"2005.12","제주특별자치도",53.0
"2006.01","서울특별시",56.4
"2006.01","부산광역시",53.1
"2006.01","대구광역시",56.8
"2006.01","인천광역시",52.4
"2006.01","광주광역시",58.8
"2006.01","대전광역시",54.9
"2006.01","울산광역시",56.3
"2006.01","경기도",54.3
"2006.01","강원특별자치도",75.7
"2006.01","충청북도",69.5
"2006.01","충청남도",75.1
"2006.01","전북특별자치도",62.9
"2006.01","전라남도",59.5
"2006.01","경상북도",73.4
"2006.01","경상남도",69.2
"2006.01","제주특별자치도",52.9
"2006.02","서울특별시",57.0
"2006.02","부산광역시",53.1
"2006.02","대구광역시",57.1
"2006.02","인천광역시",52.5
"2006.02","광주광역시",59.1
"2006.02","대전광역시",54.8
"2006.02","울산광역시",56.5
"2006.02","경기도",54.8
"2006.02","강원특별자치도",76.2
"2006.02","충청북도",70.2
"2006.02","충청남도",75.5
"2006.02","전북특별자치도",63.2
"2006.02","전라남도",59.5
"2006.02","경상북도",73.8
"2006.02","경상남도",69.3
"2006.02","제주특별자치도",52.9
"2006.03","서울특별시",57.9
"2006.03","부산광역시",53.1
"2006.03","대구광역시",57.3
"2006.03","인천광역시",52.6
"2006.03","광주광역시",59.3
"2006.03","대전광역시",54.8
"2006.03","울산광역시",57.0
"2006.03","경기도",55.4
"2006.03","강원특별자치도",76.8
"2006.03","충청북도",71.1
"2006.03","충청남도",75.5
"2006.03","전북특별자치도",63.7
"2006.03","전라남도",59.5
"2006.03","경상북도",74.6
"2006.03","경상남도",69.5
"2006.03","제주특별자치도",52.9
"2006.04","서울특별시",59.2
"2006.04","부산광역시",53.1
"2006.04","대구광역시",57.5
"2006.04","인천광역시",52.9
"2006.04","광주광역시",59.6
"2006.04","대전광역시",54.6
"2006.04","울산광역시",57.6
"2006.04","경기도",56.2
"2006.04","강원특별자치도",77.1
"2006.04","충청북도",71.7
"2006.04","충청남도",75.6
"2006.04","전북특별자치도",64.2
"2006.04","전라남도",59.5
"2006.04","경상북도",75.4
"2006.04","경상남도",69.6
"2006.04","제주특별자치도",52.9
"2006.05","서울특별시",60.3
"2006.05","부산광역시",53.0
"2006.05","대구광역시",57.8
"2006.05","인천광역시",53.1
"2006.05","광주광역시",59.7
"2006.05","대전광역시",54.4
"2006.05","울산광역시",58.8
"2006.05","경기도",57.5
"2006.05","강원특별자치도",77.3
"2006.05","충청북도",71.8
"2006.05","충청남도",75.6
"2006.05","전북특별자치도",64.8
"2006.05","전라남도",59.6
"2006.05","경상북도",76.4
"2006.05","경상남도",69.8
"2006.05","제주특별자치도",53.3
"2006.06","서울특별시",60.7
"2006.06","부산광역시",52.9
"2006.06","대구광역시",57.7
"2006.06","인천광역시",53.3
"2006.06","광주광역시",59.9
"2006.06","대전광역시",54.1
"2006.06","울산광역시",59.4
"2006.06","경기도",58.2
"2006.06","강원특별자치도",77.2
"2006.06","충청북도",72.0
"2006.06","충청남도",75.5
"2006.06","전북특별자치도",65.3
"2006.06","전라남도",59.8
"2006.06","경상북도",76.9
"2006.06","경상남도",69.7
"2006.06","제주특별자치도",53.3
"2006.07","서울특별시",60.9
"2006.07","부산광역시",52.7
"2006.07","대구광역시",57.6
"2006.07","인천광역시",53.4
"2006.07","광주광역시",59.9
"2006.07","대전광역시",53.8
"2006.07","울산광역시",59.7
"2006.07","경기도",58.6
"2006.07","강원특별자치도",77.4
"2006.07","충청북도",72.1
"2006.07","충청남도",75.4
"2006.07","전북특별자치도",65.5
"2006.07","전라남도",60.0
"2006.07","경상북도",77.4
"2006.07","경상남도",69.5
"2006.07","제주특별자치도",53.2
"2006.08","서울특별시",61.1
"2006.08","부산광역시",52.7
"2006.08","대구광역시",57.5
"2006.08","인천광역시",53.5
"2006.08","광주광역시",60.0
"2006.08","대전광역시",53.7
"2006.08","울산광역시",60.0
"2006.08","경기도",58.9
"2006.08","강원특별자치도",77.3
"2006.08","충청북도",71.9
"2006.08","충청남도",75.2
"2006.08","전북특별자치도",65.8
"2006.08","전라남도",60.2
"2006.08","경상북도",77.7
"2006.08","경상남도",69.5
"2006.08","제주특별자치도",53.2
"2006.09","서울특별시",61.6
"2006.09","부산광역시",52.6
"2006.09","대구광역시",57.4
"2006.09","인천광역시",53.7
"2006.09","광주광역시",60.2
"2006.09","대전광역시",53.4
"2006.09","울산광역시",60.7
"2006.09","경기도",59.6
"2006.09","강원특별자치도",77.1
"2006.09","충청북도",72.0
"2006.09","충청남도",75.0
"2006.09","전북특별자치도",66.0
"2006.09","전라남도",60.4
"2006.09","경상북도",78.2
"2006.09","경상남도",69.5
"2006.09","제주특별자치도",53.2
"2006.10","서울특별시",62.9
"2006.10","부산광역시",52.6
"2006.10","대구광역시",57.4
"2006.10","인천광역시",54.5
"2006.10","광주광역시",60.5
"2006.10","대전광역시",53.3
"2006.10","울산광역시",62.1
"2006.10","경기도",61.6
"2006.10","강원특별자치도",77.1
"2006.10","충청북도",72.1
"2006.10","충청남도",74.9
"2006.10","전북특별자치도",66.5
"2006.10","전라남도",60.7
"2006.10","경상북도",78.7
"2006.10","경상남도",69.6
"2006.10","제주특별자치도",53.3
"2006.11","서울특별시",66.6
"2006.11","부산광역시",52.7
"2006.11","대구광역시",57.3
"2006.11","인천광역시",56.7
"2006.11","광주광역시",60.7
"2006.11","대전광역시",53.3
"2006.11","울산광역시",64.3
"2006.11","경기도",66.5
"2006.11","강원특별자치도",77.1
"2006.11","충청북도",72.1
"2006.11","충청남도",74.9
"2006.11","전북특별자치도",67.0
"2006.11","전라남도",60.9
"2006.11","경상북도",79.4
"2006.11","경상남도",69.8
"2006.11","제주특별자치도",53.4
"2006.12","서울특별시",69.1
"2006.12","부산광역시",52.7
"2006.12","대구광역시",57.3
"2006.12","인천광역시",58.8
"2006.12","광주광역시",60.7
"2006.12","대전광역시",53.3
"2006.12","울산광역시",65.5
"2006.12","경기도",69.3
"2006.12","강원특별자치도",76.7
"2006.12","충청북도",72.0
"2006.12","충청남도",74.9
"2006.12","전북특별자치도",67.3
"2006.12","전라남도",61.1
"2006.12","경상북도",79.9
"2006.12","경상남도",69.9
"2006.12","제주특별자치도",53.8
"2007.01","서울특별시",70.7
"2007.01","부산광역시",52.7
"2007.01","대구광역시",57.3
"2007.01","인천광역시",60.3
"2007.01","광주광역시",60.7
"2007.01","대전광역시",53.2
"2007.01","울산광역시",66.7
"2007.01","경기도",70.9
"2007.01","강원특별자치도",76.5
"2007.01","충청북도",71.9
"2007.01","충청남도",74.9
"2007.01","전북특별자치도",67.6
"2007.01","전라남도",61.4
"2007.01","경상북도",80.3
"2007.01","경상남도",70.1
"2007.01","제주특별자치도",54.1
"2007.02","서울특별시",71.2
"2007.02","부산광역시",52.7
"2007.02","대구광역시",57.2
"2007.02","인천광역시",60.8
"2007.02","광주광역시",60.7
"2007.02","대전광역시",53.1
"2007.02","울산광역시",67.3
"2007.02","경기도",71.5
"2007.02","강원특별자치도",76.4
"2007.02","충청북도",71.8
"2007.02","충청남도",74.9
"2007.02","전북특별자치도",67.8
"2007.02","전라남도",61.7
"2007.02","경상북도",80.7
"2007.02","경상남도",70.2
"2007.02","제주특별자치도",54.2
"2007.03","서울특별시",71.5
"2007.03","부산광역시",52.8
"2007.03","대구광역시",57.1
"2007.03","인천광역시",61.1
"2007.03","광주광역시",60.8
"2007.03","대전광역시",52.9
"2007.03","울산광역시",67.9
"2007.03","경기도",71.9
"2007.03","강원특별자치도",76.1
"2007.03","충청북도",71.7
"2007.03","충청남도",74.8
"2007.03","전북특별자치도",67.9
"2007.03","전라남도",61.8
"2007.03","경상북도",81.1
"2007.03","경상남도",70.1
"2007.03","제주특별자치도",54.3
"2007.04","서울특별시",71.8
"2007.04","부산광역시",52.8
"2007.04","대구광역시",56.9
"2007.04","인천광역시",61.5
"2007.04","광주광역시",60.9
"2007.04","대전광역시",52.6
"2007.04","울산광역시",68.3
"2007.04","경기도",72.1
"2007.04","강원특별자치도",76.4
"2007.04","충청북도",71.8
"2007.04","충청남도",74.7
"2007.04","전북특별자치도",68.0
"2007.04","전라남도",62.2
"2007.04","경상북도",81.3
"2007.04","경상남도",70.2
"2007.04","제주특별자치도",54.4
"2007.05","서울특별시",71.8
"2007.05","부산광역시",52.8
"2007.05","대구광역시",56.7
"2007.05","인천광역시",62.1
"2007.05","광주광역시",60.8
"2007.05","대전광역시",52.4
"2007.05","울산광역시",68.6
"2007.05","경기도",72.0
"2007.05","강원특별자치도",76.1
"2007.05","충청북도",71.3
"2007.05","충청남도",74.6
"2007.05","전북특별자치도",68.2
"2007.05","전라남도",62.3
"2007.05","경상북도",81.6
"2007.05","경상남도",70.3
"2007.05","제주특별자치도",54.4
"2007.06","서울특별시",71.9
"2007.06","부산광역시",52.8
"2007.06","대구광역시",56.5
"2007.06","인천광역시",62.6
"2007.06","광주광역시",60.8
"2007.06","대전광역시",52.3
"2007.06","울산광역시",69.3
"2007.06","경기도",72.2
"2007.06","강원특별자치도",75.9
"2007.06","충청북도",71.2
"2007.06","충청남도",74.6
"2007.06","전북특별자치도",68.2
"2007.06","전라남도",62.6
"2007.06","경상북도",81.9
"2007.06","경상남도",70.2
"2007.06","제주특별자치도",54.5
"2007.07","서울특별시",72.3
"2007.07","부산광역시",52.8
"2007.07","대구광역시",56.3
"2007.07","인천광역시",63.4
"2007.07","광주광역시",60.8
"2007.07","대전광역시",52.1
"2007.07","울산광역시",69.4
"2007.07","경기도",72.4
"2007.07","강원특별자치도",75.7
"2007.07","충청북도",71.1
"2007.07","충청남도",74.6
"2007.07","전북특별자치도",68.3
"2007.07","전라남도",63.0
"2007.07","경상북도",81.9
"2007.07","경상남도",70.2
"2007.07","제주특별자치도",54.6
"2007.08","서울특별시",72.5
"2007.08","부산광역시",52.8
"2007.08","대구광역시",56.2
"2007.08","인천광역시",64.1
"2007.08","광주광역시",60.8
"2007.08","대전광역시",52.1
"2007.08","울산광역시",69.4
"2007.08","경기도",72.8
"2007.08","강원특별자치도",75.6
"2007.08","충청북도",71.1
"2007.08","충청남도",74.5
"2007.08","전북특별자치도",68.3
"2007.08","전라남도",63.2
"2007.08","경상북도",82.0
"2007.08","경상남도",70.2
"2007.08","제주특별자치도",54.7
"2007.09","서울특별시",72.9
"2007.09","부산광역시",52.9
"2007.09","대구광역시",56.1
"2007.09","인천광역시",64.7
"2007.09","광주광역시",60.8
"2007.09","대전광역시",52.0
"2007.09","울산광역시",69.5
"2007.09","경기도",73.2
"2007.09","강원특별자치도",75.4
"2007.09","충청북도",71.2
"2007.09","충청남도",74.5
"2007.09","전북특별자치도",68.4
"2007.09","전라남도",63.4
"2007.09","경상북도",82.0
"2007.09","경상남도",70.4
"2007.09","제주특별자치도",54.7
"2007.10","서울특별시",73.2
"2007.10","부산광역시",52.9
"2007.10","대구광역시",56.0
"2007.10","인천광역시",65.7
"2007.10","광주광역시",60.9
"2007.10","대전광역시",52.0
"2007.10","울산광역시",69.9
"2007.10","경기도",73.6
"2007.10","강원특별자치도",75.1
"2007.10","충청북도",71.6
"2007.10","충청남도",74.5
"2007.10","전북특별자치도",68.6
"2007.10","전라남도",63.5
"2007.10","경상북도",82.0
"2007.10","경상남도",70.5
"2007.10","제주특별자치도",54.8
"2007.11","서울특별시",73.7
"2007.11","부산광역시",53.0
"2007.11","대구광역시",55.9
"2007.11","인천광역시",66.7
"2007.11","광주광역시",61.1
"2007.11","대전광역시",52.1
"2007.11","울산광역시",70.3
"2007.11","경기도",73.9
"2007.11","강원특별자치도",74.8
"2007.11","충청북도",71.7
"2007.11","충청남도",74.4
"2007.11","전북특별자치도",68.9
"2007.11","전라남도",63.9
"2007.11","경상북도",81.9
"2007.11","경상남도",70.7
"2007.11","제주특별자치도",55.0
"2007.12","서울특별시",74.0
"2007.12","부산광역시",53.1
"2007.12","대구광역시",55.7
"2007.12","인천광역시",67.5
"2007.12","광주광역시",61.1
"2007.12","대전광역시",52.1
"2007.12","울산광역시",70.5
"2007.12","경기도",74.0
"2007.12","강원특별자치도",74.5
"2007.12","충청북도",71.8
"2007.12","충청남도",74.5
"2007.12","전북특별자치도",69.2
"2007.12","전라남도",64.7
"2007.12","경상북도",81.9
"2007.12","경상남도",71.0
"2007.12","제주특별자치도",55.0
"2008.01","서울특별시",74.5
"2008.01","부산광역시",53.3
"2008.01","대구광역시",55.6
"2008.01","인천광역시",68.4
"2008.01","광주광역시",61.1
"2008.01","대전광역시",52.1
"2008.01","울산광역시",70.7
"2008.01","경기도",74.3
"2008.01","강원특별자치도",74.4
"2008.01","충청북도",71.9
"2008.01","충청남도",74.3
"2008.01","전북특별자치도",69.4
"2008.01","전라남도",65.7
"2008.01","경상북도",82.0
"2008.01","경상남도",71.0
"2008.01","제주특별자치도",55.0
"2008.02","서울특별시",75.1
"2008.02","부산광역시",53.4
"2008.02","대구광역시",55.5
"2008.02","인천광역시",69.1
"2008.02","광주광역시",61.1
"2008.02","대전광역시",52.1
"2008.02","울산광역시",70.8
"2008.02","경기도",74.7
"2008.02","강원특별자치도",74.3
"2008.02","충청북도",72.0
"2008.02","충청남도",74.2
"2008.02","전북특별자치도",69.6
"2008.02","전라남도",66.5
"2008.02","경상북도",82.0
"2008.02","경상남도",71.1
"2008.02","제주특별자치도",55.0
"2008.03","서울특별시",76.4
"2008.03","부산광역시",53.7
"2008.03","대구광역시",55.4
"2008.03","인천광역시",70.3
"2008.03","광주광역시",61.2
"2008.03","대전광역시",52.2
"2008.03","울산광역시",71.0
"2008.03","경기도",75.4
"2008.03","강원특별자치도",74.1
"2008.03","충청북도",72.3
"2008.03","충청남도",74.1
"2008.03","전북특별자치도",70.1
"2008.03","전라남도",66.9
"2008.03","경상북도",82.0
"2008.03","경상남도",71.3
"2008.03","제주특별자치도",55.1
"2008.04","서울특별시",78.3
"2008.04","부산광역시",54.1
"2008.04","대구광역시",55.3
"2008.04","인천광역시",72.4
"2008.04","광주광역시",61.6
"2008.04","대전광역시",52.3
"2008.04","울산광역시",71.1
"2008.04","경기도",76.7
"2008.04","강원특별자치도",73.9
"2008.04","충청북도",72.7
"2008.04","충청남도",74.0
"2008.04","전북특별자치도",71.0
"2008.04","전라남도",69.1
"2008.04","경상북도",82.2
"2008.04","경상남도",71.8
"2008.04","제주특별자치도",55.3
"2008.05","서울특별시",79.5
"2008.05","부산광역시",54.4
"2008.05","대구광역시",55.2
"2008.05","인천광역시",74.0
"2008.05","광주광역시",62.0
"2008.05","대전광역시",52.4
"2008.05","울산광역시",71.2
"2008.05","경기도",77.6
"2008.05","강원특별자치도",74.0
"2008.05","충청북도",72.8
"2008.05","충청남도",74.1
