시점,지역별,총인구수,출생아수,합계출산율,유치원,초등학교,중학교,고등학교,사설학원수,사교육참여율,매우효과있음,약간효과있음,효과보통,별로효과없음,전혀효과없음,효과모름,매우만족,약간만족,만족보통,약간불만,매우불만
2010,충청북도,,14670,1.402,,,,,2489.0,66.9,5.6,27.7,40.9,17.0,4.3,4.4,10.8,32.7,47.6,6.7,2.1
2011,강원특별자치도,,12408,1.338,17.94,21.35,30.34,29.62,2474.0,61.1,,,,,,,,,,,
2011,경기도,,122027,1.314,21.32,28.56,35.13,35.16,18674.0,75.4,,,,,,,,,,,
2011,경상남도,,32536,1.446,21.25,24.43,31.45,32.3,5970.0,69.4,,,,,,,,,,,
2011,경상북도,,24250,1.434,19.06,22.28,29.46,29.9,3735.0,68.5,,,,,,,,,,,
2011,광주광역시,,13916,1.234,20.87,26.64,35.68,36.39,2281.0,72.7,,,,,,,,,,,
2011,대구광역시,,20758,1.146,24.21,26.23,35.04,34.74,3746.0,74.4,,,,,,,,,,,
2011,대전광역시,,14808,1.261,21.32,26.34,33.68,34.31,2168.0,73.2,,,,,,,,,,,
2011,부산광역시,,27759,1.078,24.61,24.8,32.48,32.16,5026.0,69.7,,,,,,,,,,,
2011,서울,,91526,1.014,21.81,26.81,32.84,33.57,13477.0,77.0,,,,,,,,,,,
2011,세종특별자치시,,-,-,,,,,,,,,,,,,,,,,
2011,울산광역시,,11542,1.393,22.92,26.31,32.62,35.7,2600.0,72.3,,,,,,,,,,,
2011,인천광역시,,26118,1.232,22.91,25.3,35.98,32.41,2831.0,70.0,,,,,,,,,,,
2011,전라남도,,16612,1.568,16.2,20.55,29.71,28.46,2891.0,62.7,,,,,,,,,,,
2011,전북특별자치도,,16175,1.405,15.86,22.27,30.75,30.17,3956.0,60.9,,,,,,,,,,,
2011,제주특별자치도,,5628,1.487,20.63,25.1,34.68,35.0,957.0,68.5,,,,,,,,,,,
2011,충청남도,,20398,1.496,19.56,22.68,31.06,31.32,2944.0,66.7,,,,,,,,,,,
2011,충청북도,,14804,1.428,18.7,23.25,31.14,33.03,2435.0,64.9,,,,,,,,,,,
2012,강원특별자치도,,12426,1.374,18.4,20.32,29.92,29.45,2335.0,64.5,8.2,27.5,37.0,15.4,4.4,7.5,12.7,33.5,43.4,8.9,1.5
