시점,사교육참여율,지역별
2016.08,65.925,경북
2016.09,66.200,경북
2016.10,66.475,경북
2016.11,66.750,경북
2016.12,67.025,경북
2017.01,67.300,경북
2017.02,67.333,경북
2017.03,67.367,경북
2017.04,67.400,경북
2017.05,67.433,경북
2017.06,67.467,경북
2017.07,67.500,경북
2017.08,67.533,경북
2017.09,67.567,경북
2017.10,67.600,경북
2017.11,67.633,경북
2017.12,67.667,경북
2018.01,67.700,경북
2018.02,67.867,경북
2018.03,68.033,경북
2018.04,68.200,경북
2018.05,68.367,경북
2018.06,68.533,경북
2018.07,68.700,경북
2018.08,68.867,경북
2018.09,69.033,경북
2018.10,69.200,경북
2018.11,69.367,경북
2018.12,69.533,경북
2019.01,69.700,경북
2019.02,68.933,경북
2019.03,68.167,경북
2019.04,67.400,경북
2019.05,66.633,경북
2019.06,65.867,경북
2019.07,65.100,경북
2019.08,64.333,경북
2019.09,63.567,경북
2019.10,62.800,경북
2019.11,62.033,경북
2019.12,61.267,경북
2020.01,60.500,경북
2020.02,61.442,경북
2020.03,62.383,경북
2020.04,63.325,경북
2020.05,64.267,경북
2020.06,65.208,경북
2020.07,66.150,경북
2020.08,67.092,경북
2020.09,68.033,경북
2020.10,68.975,경북
2020.11,69.917,경북
2020.12,70.858,경북
2021.01,71.800,경북
2021.02,71.883,경북
2021.03,71.967,경북
2021.04,72.050,경북
2021.05,72.133,경북
2021.06,72.217,경북
2021.07,72.300,경북
2021.08,72.383,경북
2021.09,72.467,경북
2021.10,72.550,경북
2021.11,72.633,경북
2021.12,72.717,경북
2022.01,72.800,경북
2022.02,72.883,경북
2022.03,72.967,경북
2022.04,73.050,경북
2022.05,73.133,경북
2022.06,73.217,경북
2022.07,73.300,경북
2022.08,73.383,경북
2022.09,73.467,경북
2022.10,73.550,경북
2022.11,73.633,경북
2022.12,73.717,경북
2023.01,73.800,경북
2009.01,75.900,광주
2009.02,75.783,광주
2009.03,75.667,광주
2009.04,75.550,광주
2009.05,75.433,광주
2009.06,75.317,광주
2009.07,75.200,광주
2009.08,75.083,광주
2009.09,74.967,광주
2009.10,74.850,광주
2009.11,74.733,광주
2009.12,74.617,광주
2010.01,74.500,광주
2010.02,74.350,광주
2010.03,74.200,광주
2010.04,74.050,광주
2010.05,73.900,광주
2010.06,73.750,광주
2010.07,73.600,광주
2010.08,73.450,광주
2010.09,73.300,광주
2010.10,73.150,광주
2010.11,73.000,광주
2010.12,72.850,광주
2011.01,72.700,광주
2011.02,72.542,광주
2011.03,72.383,광주
2011.04,72.225,광주
2011.05,72.067,광주
2011.06,71.908,광주
2011.07,71.750,광주
2011.08,71.592,광주
2011.09,71.433,광주
2011.10,71.275,광주
2011.11,71.117,광주
2011.12,70.958,광주
2012.01,70.800,광주
2012.02,70.717,광주
2012.03,70.633,광주
2012.04,70.550,광주
2012.05,70.467,광주
2012.06,70.383,광주
2012.07,70.300,광주
2012.08,70.217,광주
2012.09,70.133,광주
2012.10,70.050,광주
2012.11,69.967,광주
2012.12,69.883,광주
2013.01,69.800,광주
2013.02,69.708,광주
2013.03,69.617,광주
2013.04,69.525,광주
2013.05,69.433,광주
2013.06,69.342,광주
2013.07,69.250,광주
2013.08,69.158,광주
2013.09,69.067,광주
2013.10,68.975,광주
2013.11,68.883,광주
2013.12,68.792,광주
2014.01,68.700,광주
2014.02,68.708,광주
2014.03,68.717,광주
2014.04,68.725,광주
2014.05,68.733,광주
2014.06,68.742,광주
2014.07,68.750,광주
2014.08,68.758,광주
2014.09,68.767,광주
2014.10,68.775,광주
2014.11,68.783,광주
2014.12,68.792,광주
2015.01,68.800,광주
2015.02,68.467,광주
2015.03,68.133,광주
2015.04,67.800,광주
2015.05,67.467,광주
2015.06,67.133,광주
2015.07,66.800,광주
2015.08,66.467,광주
2015.09,66.133,광주
2015.10,65.800,광주
2015.11,65.467,광주
2015.12,65.133,광주
2016.01,64.800,광주
2016.02,65.125,광주
2016.03,65.450,광주
2016.04,65.775,광주
2016.05,66.100,광주
2016.06,66.425,광주
2016.07,66.750,광주
2016.08,67.075,광주
2016.09,67.400,광주
2016.10,67.725,광주
2016.11,68.050,광주
2016.12,68.375,광주
2017.01,68.700,광주
2017.02,68.758,광주
2017.03,68.817,광주
2017.04,68.875,광주
2017.05,68.933,광주
2017.06,68.992,광주
2017.07,69.050,광주
2017.08,69.108,광주
2017.09,69.167,광주
2017.10,69.225,광주
2017.11,69.283,광주
2017.12,69.342,광주
2018.01,69.400,광주
2018.02,69.758,광주
2018.03,70.117,광주
2018.04,70.475,광주
2018.05,70.833,광주
2018.06,71.192,광주
2018.07,71.550,광주
2018.08,71.908,광주
2018.09,72.267,광주
2018.10,72.625,광주
2018.11,72.983,광주
2018.12,73.342,광주
2019.01,73.700,광주
2019.02,73.150,광주
2019.03,72.600,광주
2019.04,72.050,광주
2019.05,71.500,광주
2019.06,70.950,광주
2019.07,70.400,광주
2019.08,69.850,광주
2019.09,69.300,광주
2019.10,68.750,광주
2019.11,68.200,광주
