시점,사설학원수,지역별
2009.05,2414.000,강원
2009.06,2419.250,강원
2009.07,2424.500,강원
2009.08,2429.750,강원
2009.09,2435.000,강원
2009.10,2440.250,강원
2009.11,2445.500,강원
2009.12,2450.750,강원
2010.01,2456.000,강원
2010.02,2457.500,강원
2010.03,2459.000,강원
2010.04,2460.500,강원
2010.05,2462.000,강원
2010.06,2463.500,강원
2010.07,2465.000,강원
2010.08,2466.500,강원
2010.09,2468.000,강원
2010.10,2469.500,강원
2010.11,2471.000,강원
2010.12,2472.500,강원
2011.01,2474.000,강원
2011.02,2462.417,강원
2011.03,2450.833,강원
2011.04,2439.250,강원
2011.05,2427.667,강원
2011.06,2416.083,강원
2011.07,2404.500,강원
2011.08,2392.917,강원
2011.09,2381.333,강원
2011.10,2369.750,강원
2011.11,2358.167,강원
2011.12,2346.583,강원
2012.01,2335.000,강원
2012.02,2334.250,강원
2012.03,2333.500,강원
2012.04,2332.750,강원
2012.05,2332.000,강원
2012.06,2331.250,강원
2012.07,2330.500,강원
2012.08,2329.750,강원
2012.09,2329.000,강원
2012.10,2328.250,강원
2012.11,2327.500,강원
2012.12,2326.750,강원
2013.01,2326.000,강원
2013.02,2319.917,강원
2013.03,2313.833,강원
2013.04,2307.750,강원
2013.05,2301.667,강원
2013.06,2295.583,강원
2013.07,2289.500,강원
2013.08,2283.417,강원
2013.09,2277.333,강원
2013.10,2271.250,강원
2013.11,2265.167,강원
2013.12,2259.083,강원
2014.01,2253.000,강원
2014.02,2247.333,강원
2014.03,2241.667,강원
2014.04,2236.000,강원
2014.05,2230.333,강원
2014.06,2224.667,강원
2014.07,2219.000,강원
2014.08,2213.333,강원
2014.09,2207.667,강원
2014.10,2202.000,강원
2014.11,2196.333,강원
2014.12,2190.667,강원
2015.01,2185.000,강원
2015.02,2185.167,강원
2015.03,2185.333,강원
2015.04,2185.500,강원
2015.05,2185.667,강원
2015.06,2185.833,강원
2015.07,2186.000,강원
2015.08,2186.167,강원
2015.09,2186.333,강원
2015.10,2186.500,강원
2015.11,2186.667,강원
2015.12,2186.833,강원
2016.01,2187.000,강원
2016.02,2190.000,강원
2016.03,2193.000,강원
2016.04,2196.000,강원
2016.05,2199.000,강원
2016.06,2202.000,강원
2016.07,2205.000,강원
2016.08,2208.000,강원
2016.09,2211.000,강원
2016.10,2214.000,강원
2016.11,2217.000,강원
2016.12,2220.000,강원
2017.01,2223.000,강원
2017.02,2221.083,강원
2017.03,2219.167,강원
2017.04,2217.250,강원
2017.05,2215.333,강원
2017.06,2213.417,강원
2017.07,2211.500,강원
2017.08,2209.583,강원
2017.09,2207.667,강원
2017.10,2205.750,강원
2017.11,2203.833,강원
2017.12,2201.917,강원
2018.01,2200.000,강원
2018.02,2198.500,강원
2018.03,2197.000,강원
2018.04,2195.500,강원
2018.05,2194.000,강원
2018.06,2192.500,강원
2018.07,2191.000,강원
2018.08,2189.500,강원
2018.09,2188.000,강원
2018.10,2186.500,강원
2018.11,2185.000,강원
2018.12,2183.500,강원
2019.01,2182.000,강원
2019.02,2181.750,강원
2019.03,2181.500,강원
2019.04,2181.250,강원
2019.05,2181.000,강원
