지역별,시점,아파트매매가격지수,인구밀도,사교육참여율,고용률,여성초혼연령,인터넷이용률,합계출산율,근로시간
경북,2015.12,110.6,140.9,64.3,61.2,29.75,86.6,1.402,162.7
광주,2015.12,96.8,2995.7,65.1,58.7,30.14,91.4,1.171,161.7
대구,2015.12,102.2,2785.3,69.3,59.6,30.27,91.7,1.188,165.6
대전,2015.12,96.7,2846.9,69.1,59.5,29.95,90.6,1.199,162.3
부산,2015.12,89.0,4468.8,70.1,56.2,30.63,92.7,1.099,167.6
서울,2015.12,84.4,16202.2,74.0,60.1,31.01,87.9,0.945,162.9
울산,2015.12,104.9,1099.2,68.2,59.0,29.74,96.6,1.424,156.8
인천,2015.12,93.6,2741.4,65.2,61.3,30.06,88.1,1.15,166.1
전남,2015.12,90.6,145.8,55.1,62.2,29.47,81.2,1.473,166.1
전북,2015.12,96.9,227.2,61.2,57.2,29.65,85.6,1.259,161.2
제주,2015.12,89.3,337.1,64.7,69.6,30.42,86.3,1.436,172.2
충남,2015.12,107.9,259.2,59.3,60.0,29.27,84.7,1.402,161.0
충북,2015.12,105.5,216.5,60.7,61.6,29.56,87.1,1.363,162.8
강원,2016.01,88.9,90.4,64.2,52.5,29.79,75.3,1.237,162.5
경기,2016.01,95.2,1245.8,73.2,60.3,30.22,88.9,1.194,165.2
경남,2016.01,108.2,316.9,68.5,59.0,29.92,90.8,1.358,161.9
경북,2016.01,109.8,140.9,66.3,60.1,29.76,86.8,1.396,162.6
광주,2016.01,97.4,2994.8,67.5,57.5,30.15,91.6,1.168,161.7
대구,2016.01,100.9,2784.5,72.4,58.6,30.28,91.9,1.186,165.4
대전,2016.01,97.0,2845.4,71.5,58.6,29.95,90.7,1.192,162.1
부산,2016.01,88.8,4466.2,72.0,55.8,30.64,92.7,1.095,167.4
서울,2016.01,84.2,16193.3,76.4,59.7,31.03,88.1,0.94,162.8
울산,2016.01,105.5,1098.5,69.0,58.2,29.76,96.6,1.418,156.6
인천,2016.01,93.7,2742.3,67.1,61.1,30.07,88.2,1.144,165.8
전남,2016.01,89.7,145.8,56.4,59.0,29.5,81.4,1.466,166.0
전북,2016.01,96.8,227.1,63.5,56.0,29.66,85.9,1.251,161.2
제주,2016.01,91.2,337.9,65.8,68.3,30.42,86.3,1.432,172.0
충남,2016.01,107.4,259.5,62.8,57.7,29.3,85.1,1.395,160.7
충북,2016.01,105.7,216.6,62.2,58.2,29.57,87.2,1.358,162.6
강원,2016.02,90.1,90.4,65.5,52.3,29.81,76.0,1.228,162.2
경기,2016.02,95.3,1247.3,74.0,60.1,30.23,89.1,1.184,165.0
